light, recognising: 0.0
elevated, unheard-of: 0.0
illicit, undisputed: 0.610274759733
frozen, live: 0.317309426721
by, good: 0.014316210197
around, frustrating: 0.719327858895
bereft, transitional: 0.638338290574
rehearse, unconscionable: 0.001870403496
based, irritating: -0.074359924699
displaced, doctor: -0.053714608899
emblematic, reasonnable: 0.0
herein, satisfactory: 2.48170455271
environmental, preceding: -0.268367423976
fiine, furious: 0.0
injured, speedier: 0.841913545781
extraneous, traumatic: 1.21657559127
considerate, european: -0.294449712314
died, uncompetitive: -0.121029036811
horrendous, well-suited: 0.0
small-time, unachievable: 0.0
degraded, non-existent: 0.0
humid, surprised: 0.640238427636
thought-provoking, unused: 0.0
abrasive, closed: 0.059812811073
convenient, impartial: 1.74260690301
egotistical, screened: -0.556325248681
burdensome, gullible: 1.04346667711
alright, continual: 0.321083484752
compliant, confrontational: 2.00011477724
cuter, unbearable: 0.960409247561
educational, responsive: 1.2448891022
ideally, worth: 0.305795691171
ambiguous, gracious: 1.44285733361
disoriented, positioned: 0.560708567727
continual, momentous: 0.822043616763
intractable, vague: 1.97141349895
referenced, steady: -0.298899667131
slower, woken: 0.629548536983
accuracy, unfathomable: 0.41021174395
bereft, prevailing: 1.32353982733
cabbage, wide-open: 0.0
battered, history: 0.433951038055
heterosexual, race: 0.755250612865
facilitated, looser: 0.25135010171
blow, imprecise: -0.055624268793
frustrated, stillborn: 1.52547794861
about, bullshit: 1.12809857095
annulled, education: 0.116144606717
partial, unfilled: 1.07839914708
enchanting, small-time: 0.0
estimated, unthinkable: 0.909170820194
frankenstein, inconceivable: 0.482029660461
cold, key: 0.315824677608
brave, damaging: 0.8546132061
prat, tall: 1.41536570437
quick, upset: 1.09502725137
flexibility, long-range: 0.0
contestable, socio-economically: 0.0
dre, sober: 0.541661332246
-just, feisty: 0.0
fucked, historic: -0.60881051418
superstitious, sweetheart: 0.072654129543
irreconcilable, recognised: 0.0
unfavourable, worrying: 0.0
flattering, ripe: 0.999781055156
housebroken, race: 1.19809600428
deepest, terse: 1.1617401678
appointed, brightest: 0.900336321101
builshit, claire: 0.0
hiv, swift: 0.266854816983
honest, marginal: 0.986741222677
extinct, hurry: 0.804010926859
nutty, vice-chairmen: 0.0
carmela, enrolled: 0.0
adorable, cancelled: 0.0
do-able, uncertain: 0.0
perilous, thicker: 0.821007182588
implausible, understand: 0.864874619519
brave, l: 0.629916762862
export, trippy: 0.286313139047
authorised, unavoidable: 0.0
black-hearted, real: 0.0
lye, visible: 0.18718560968
above, selective: -0.105804602336
historical, issued: 0.30077691156
nosey, princess: 0.0
above-board, real: 0.0
insatiable, limp: 0.859531827452
impracticable, peachy: 2.28546281232
heated, yo: 0.285554776501
advantaged, unaffected: 2.32132541874
emphasise, prejudicial: 0.0
blameless, delighted: 0.582164477203
murderous, slim: 0.124551531387
breathe, going: 1.17021971952
ominous, pathetic: 2.29876540279
marvelous, skilful: 3.21523987709
educational, lookin: -0.188370194837
copacetic, non-partisan: 0.0
bi-directional, okey: 0.0
durable, participants: -0.019428327785
incompetent, inestimable: 1.32590657354
addictive, third: -0.540969525384
delicious, unreliable: 0.696520503329
cruellest, reasoned: 0.253772751516
bummed, worried: 4.42919767236
blind, unanimous: 0.368912258494
salutary, well-timed: 0.0
dark, well-represented: 0.0
christian, modernized: 0.544789399761
innovative, unsolved: 0.883397645687
revealing, searchable: 0.968199813116
barmy, gratuitous: 3.00974594994
larger, politically: 0.824458865163
fully, unsure: 1.13871675913
emerged, thirsty: -0.205352341963
vibrant, well-deserved: 0.0
small-scale, unspeakable: 0.0
inconspicuous, injured: 0.433218879858
19, self-governed: 0
complicated, referenced: 0.654924313592
flagrant, resistant: 1.19027521871
ill-defined, supported: 0.0
checked, unconscionable: 0.030869947988
gonna, lovely: 1.9405574331
unpredictable, widely: 0.91791285671
staff, unattainable: -0.572195650598
ever, scheduled: 0.109285281547
at, objective: 0.237233999389
demand-driven, rapidly: 0.0
unidentified, vocational: 0.409948057663
forgotten, single: 0.301455340216
aggravated, horrid: 1.43916680128
modern, naive: 1.17509997175
appalling, damaged: 1.03904455437
find, stupider: 0.798081635979
changed, illogical: 1.0328919565
moronic, technological: 0.568586446483
late, sacred: 0.17581426571
ended, unforgiving: 0.466795469012
diligent, wider: 0.222878785528
exhausting, infected: 0.084615512948
scary, single-ranked: 0.0
glad, problematic: 0.739366518549
fella, massive: 0.683244576477
franco, scientific: 1.20542805866
appealing, worthwhile: 2.22495882055
adversarial, well-structured: 0.0
characteristic, lookin: 0.330974726094
ingrained, supra: 1.12227443798
cabbage, unbelievable: 0.8889169704
notably, starved: 0.514407088636
fair, rusty: 0.549636452939
permanent, wonderfui: 0.0
awesome, brave: 1.99929608256
dispersal, drawn-out: 0.0
