tenable, unlawful: 2.23957690806
impolite, them: 1.11867570958
aging, task-oriented: 0.0
eerie, fit: -0.291005201457
lookin, rough: 1.43393282512
biased, lawful: 1.1174209393
brave, compact: 0.73005148514
insufferable, pretentious: 4.45616730659
immaterial, mainstream: 0.586672038252
comprehensible, executory: 2.45618980158
questionable, secondary: 1.10276362579
frightening, housebroken: 1.64385361235
manifestly, wide: 0.337389170817
crushed, fearless: 1.44288549536
enlightening, first-class: 0.0
genuine, hourly: -0.275858419839
ineffective, unabated: 1.98764169619
apolitical, interim: 1.70688907251
consulted, related: 0.89789518588
positive, slippery: 0.624625613509
high, indiscreet: 0.230717115512
predominantly, two-: 0.0
loose, reduced: 0.023656150028
cautious, initially: 1.06899344545
eager, pretty: 1.10421971508
humbled, lethal: 0.151211281514
blind, vibrant: 0.266852316903
isolated, win: 0.157987320496
shy, transient: 0.473241249744
defenseless, hunger: 1.12917901999
inclusive, next: 0.457147919726
indefensible, pursuant: 1.11098963311
korea, well-represented: 0.0
part, tepid: 0.007166014245
encouraging, meager: 0.931649581748
free, presently: 0.168157448989
drunk, sir: 1.91023973966
exhausted, key: -0.458841406112
aggrieved, fairer: 2.47009984794
lonely, wide-open: 0.0
undisturbed, unlikely: 1.24330782409
adequate, peaceful: 1.3691310517
circumneutral, pretend: 0.0
friendly, steep: 0.819826176579
neighbours, overdue: 0.0
babe, unanimous: 0.144442247287
eccentric, invaluable: 0.511204963605
selective, systemic: 1.95662343421
religious, surrounded: 0.739924196865
disturbing, toasted: 0.092387711608
bygones, voluntary: 1.44402436526
delicious, safer: 0.553793863363
displacement, remediated: 0.850701488045
agreeable, older: 0.826003364189
cranky, irritated: 4.13898196615
crushed, glowing: 0.781883291002
2nd, luckier: 0.528645670852
functioning, informal: 0.927596791835
corny, stifling: 0.840956256823
gratifying, overwrought: 0.750019986099
concluded, her: -0.052902251171
craze, simplifying: -0.002848543921
pitch-dark, scant: 0.0
contrary, tasty: 0.365634166212
smitten, unsavory: 1.41994241155
-mentioned, saying: 0.0
committed, mieux: 0.394563900868
alert, happening: 1.54227165097
humiliated, radical: 0.686648579828
exceptional, term: 0.329871674478
fairest, life-threatening: 0.0
awful, wide-ranging: 0.0
self-supporting, swearing: 0.0
paramount, uptight: 0.693458014573
girl, pathway: 0.419211745368
counterfeit, silent: -0.250697302299
unanimous, yearly: 0.349789270542
courrier, fascinated: 0.285677504878
cold, proscribed: 0.275575066575
battered, perplexed: 1.50624885697
creation, pilot-tested: 0.0
arguable, strangers: -0.901162993609
unlawful, uppermost: 0.340199745038
crucial, denser: 0.209201542314
acclaimed, skilful: 1.9297930878
completed, whar: 0.0
developed, usable: 1.41118594898
comprehensible, democratic: 2.27913497117
official, poverty-stricken: 0.0
edible, transnational: 1.05232600411
especiaily, retail: 0.0
clarified, dependent: 0.220966558432
well-controlled, worst: 0.0
commendable, conscientious: 2.83831979853
beautiful, raison: 0.687344207347
awol, infeasible: 0.758344861924
certain, greatest: 1.28858720923
elevated, isolated: 1.49355492067
cinematography, rad: 1.94161531292
provided, secure: 1.29783538579
outside, third: 0.68818089739
ensuring, unlawful: 0.898586925545
disgraceful, especiaily: 0.0
coherent, thorny: 1.66891763693
distressing, referenced: 0.719988048236
comforting, merciful: 2.57475975686
hot, nude: 1.29910761246
decent, practice-oriented: 0.0
desperate, sluggish: 1.46610130181
fifteen, unofficial: 0.313840679123
aggravated, fbl: 0.0
juicy, understood: 0.171609021981
