mla, welcome: -0.208809581378
-so, heated: 0.0
creepy, searchable: 1.0435349684
blameless, lifelong: 1.07485166635
government-owned, routine: 0.0
dotty, fucked: 2.50605497889
repulsive, silent: 1.46160049187
fall, it: 0.669679724498
blameless, gutsy: 0.857466677399
3rd, interestedin: 0.0
belated, obese: -0.673298849322
mind-boggling, preferable: 0.0
amazing, comprehend: 1.89122521532
resolute, testy: 1.90982073161
hearty, ill-conceived: 0.0
else, sturdy: 0.406570003499
fit, retarded: 1.16682703741
additional, all-inclusive: 0.0
performed, pleasant: 0.431617921918
indispensable, tabling: -0.013467233581
bored, hinky: 2.76238351927
medium, remediated: -0.080332583455
good, visible: 0.454647760981
casual, tabling: 0.348146742909
secure, unexpected: 0.453114852948
tabled, unexpected: -0.173223230725
interminable, overdue: 2.03308074455
panicky, say: 0.702846854733
onboard, pitiful: -0.175835159266
dope, heinous: 1.34335556744
in, inexplicable: 0.394279947072
plenty, presently: 0.515807874487
school, sympathetic: -0.066338670361
estimated, masterful: -0.137118805352
above, smart: 0.201320004065
exceptionally, futile: -0.101078665939
exquisite, rationalized: 0.330645720299
operative, strict: 0.840219848486
twofold, unjustified: 1.4928757562
etc, up-to-date: 0.0
malignant, motivated: 1.08209590268
inexpensive, value: 1.46975150875
greedy, outnumbered: 1.95338160802
afflicted, unsteady: 1.3318182425
equally, simplistic: 1.49548658899
built, inaccurate: 0.14410151162
baseless, gentle: 0.282750114406
perpetual, require: 0.601419723911
luke, omnipresent: 0.270079970827
intensive, reasonably: 0.226710363357
berserk, various: 1.07321342799
archaic, private: 0.531678349392
hour, lofty: 0.070929421391
dre, onerous: -0.451342877095
interoperable, ugly: -0.126557977287
automated, yearly: 0.777539194148
awestruck, damaging: 0.075048647963
good-iooking, intelligible: 0.0
all-round, unidentified: 0.0
accomplished, nouveau: 0.708241015426
innovative, overheated: 0.409271417772
psychogenic, repugnant: 1.96032514012
top, unprofessional: 0.28359204021
course, unconditional: 0.568329353183
long-lasting, prompt: 0.0
returned, seriously: 0.175081575702
counterfeit, patience: -0.003581381079
physical, unconscionable: 0.15630420868
necessarily, repeated: 0.718819908757
neat, nuts: 1.78493917337
emotional, shocked: 1.39607712876
brittle, longer: 1.00961338997
cheapest, finicky: 1.49456040115
refrigerated, startling: 0.122183322894
protected, silly: 0.629316089266
shocking, treaty: 0.016130745313
authentic, material: 0.620478283756
happiest, subtler: 0.978292185582
dorky, immersive: 2.3311033235
darkest, morbid: 2.33525367357
disquieting, wide: 0.318859379651
clare, race: 0.284949622477
internal, such: 0.642211568961
best-known, independent: 0.0
startled, stout: 1.04526143994
gloomy, personally: -0.479599971654
rebatable, sonny: 0.0
eager, encompassing: 0.0692231042
mandatory, overloaded: 0.859855028125
junior, multi-disciplinary: 0.0
busted, subtler: -0.145273570069
