merely, nice: 1.05236065215
heeded, irresponsible: 1.74536536686
accessed, democratic: 0.300422979477
gratuitous, steeper: 0.432979662032
dotty, excitable: 3.2680917555
amended, foolish: 0.513350593663
co-funding, conducive: 0.0
high-cost, iittle: 0
course, longitude: 0.75552339488
biggest, ensure: -0.079580613861
arduous, disruptive: 1.54642436737
occupational, self-evident: 0.0
advised, returned: 1.68240640475
disparate, soft: 0.325113876084
heartening, spicy: 1.53290845459
anomalous, undamaged: 2.40693798921
running, severely: 0.258067065261
catastrophic, rugged: 0.514064446037
meaningless, omnipresent: 1.94858315211
cleverer, compensatory: 0.275095273972
nauseous, potent: 1.24801871011
so, tied: 0.368562851941
creative, interminable: 0.436859357657
designated, farther: 0.903410974099
dynamic, speedy: 1.43783841954
palpable, stimulating: 1.23571278818
l, mum: 1.36501247881
snotty, therefore: 0.283749728747
awol, bummed: 1.60272311845
indian, intact: 0.586615743374
deep, unacceptable: 0.423084838838
afraid, suspicious: 1.71920375588
daily, repelling: 0.412555702192
informal, strict: 1.33210750269
broadest, gutsy: -0.296796247642
filthy, less: 0.324701238084
counter, immutable: -0.058928558815
kosher, steady: 0.278949737624
all-powerful, deliberately: 0.0
modified, peaceful: 0.305356532025
blurred, term: 0.44495617228
beloved, unfair: 0.069026530493
candid, intentionally: 0.616612628324
defeated, ok: 0.28135886197
princess, well-reputed: 0.0
criminal, johnny: 0.43640255646
attended, futile: 0.049907184017
repayable, unbiased: 0.63201717508
executed, freer: 0.500027561087
brainless, happened: 0.762874882523
acknowledged, fullest: 0.738018858178
damaged, heights: -0.094709240893
pitiful, uncanny: 2.05313887312
compelling, correctly: 0.266708631542
repugnant, undetectable: 2.04904903187
in-flight, precisely: 0.0
queer, tighter: 0.201294071986
talented, unethical: 0.87786353101
finally, suited: 0.017771826335
finer, manifestly: -0.757932657384
disappointing, thick: 0.809741045518
bothersome, exclusive: -0.367985546474
assured, unhurt: 3.08457232933
astonishing, life-threatening: 0.0
initial, reasonably: 0.84113463542
fall, overworked: 0.040481443847
either, jumpy: 0.568422454294
scalable, smaller: 1.46674825252
lovely, sloppy: 1.77348143654
outdated, southwestern: 0.158917541815
madness, overburdened: 0.037653864184
limp, oral: -0.176481657745
case, terrific: -0.26960855631
experienced, indian: 0.241583289433
fair-minded, insecure: 0.0
respectable, shorter: 0.612774062581
fifth, intriguing: 0.2263092461
installed, unsustainable: -0.145191102877
clarified, extensive: 0.34291070256
disturbed, knackered: 2.15004217514
armored, resolute: 0.884712091584
grimmer, vacant: 1.6104411687
known, unhurt: 0.362299817506
hence, maintained: 1.0234643547
asked, expressed: 2.49487900978
disciplined, palatable: 0.282105239368
over, represented: 0.522902631118
coming, mistaken: 0.366716496009
cautious, urgent: 1.48296407994
all-out, unappy: 0
hospitable, multi-layered: 0.0
more, urgent: 0.635059753842
suicidal, truthful: 1.22082338894
displaced, valid: 0.32049263695
non, risky: 0.391542770363
about, abundant: 0.183506873995
blind, elementary: 0.699993916156
motherfucker, substandard: 0.402002413679
fast-switched, seventh: 0.0
unthinkable, utopian: 2.57518597118
all-encompassing, monstrous: 0.0
absolutely, potential: 0.630918243203
admissible, all-embracing: 0.0
dynamite, microscopic: 1.03712493991
able, tonight: 1.195891027
inadequate, recommended: 1.57484016933
bro, comprehensively: -0.56302037353
iilegal, unbearable: 0.0
hereby, newborn: 0.154270155419
angry, classified: 0.50291135829
handed, pragmatic: 0.735147122138
appreciable, rational: 1.145229849
below, manageable: 1.69003341514
tabled, well-known: 0.0
facultative, ioaded: 0.0
smitten, wondrous: 2.18869269863
glad, harmful: 0.466330658974
beter, muscovite: 0.565633222164
accurate, extant: 1.11417917474
high-tech, noble: 0.0
awkward, unfortunately: 1.50645700229
persuasive, representativeness: 1.50514060115
completely, euphoric: 1.25458280895
evening, unclear: 0.93589393316
armored, preposterous: 0.786774881304
deader, poorest: -0.067448818607
naive, scandalous: 2.20657698348
multicultural, om-mazing: 0.0
illiterate, reckless: 1.28956390286
hinky, warmer: 0.837496155082
dire, uncertain: 3.17992291079
right, unspecified: 0.457081284606
hysterical, shifty: 1.52972469659
dotty, finished: 0.170283051022
deficient, unsanitary: 3.65569665224
non-discriminatory, well: 0.0
applicable, justifiable: 1.99334189314
concise, courteous: 3.78192041493
unclear, yourself: -0.83551365696
acute, wild: 0.584758790269
teeny, unhealthy: 1.08972426111
agreed, determinative: 0.4648540106
cautious, legendary: 0.273558292003
neutral, supreme: 0.824461473884
state-run, stone-cold: 0
misguided, trivial: 2.32564626647
powerless, toast: 0.431339899638
barmy, well-deserved: 0.0
constructed, rationalized: 1.73910395687
concentrated, yo: -0.199913126507
felt, lousy: 1.01755051793
glad, sour: 0.465248858894
detrimental, proportionate: 1.81505279247
lunatic, personally: 1.31806439287
bureaucratic, intact: 0.294646712924
imported, timid: 0.574456751397
celebrities, tall: 0.435853270244
broad, shot: 0.02511689082
awkward, detrimental: 1.51949761995
creative, defective: 0.269348237671
non-exhaustive, skint: 0.0
inter-related, overkill: 0.0
uneconomical, useful: 2.76302221808
industrialized, insured: 1.78414936117
follows, widespread: 0.403641589818
criminal, regulated: 0.825788135699
complicit, untraceable: 2.75055880486
dull, inexcusable: 1.06066928537
hot, micro: 0.651485368596
fbl, medium-sized: 0
abusive, shameful: 3.30849202968
nearest, softer: 0.346075615185
beautiful, paradoxical: 1.86090116638
exemplary, repelling: 0.362010437529
organized, thicker: 0.172294201221
inexpensive, multiple: 1.16707283276
senior, serious: 0.291989438557
livid, widely: 0.999645580601
by-election, relentless: 0.0
daft, groundless: 2.64780767922
move, unseen: -0.0403571509
outstanding, unavoidable: 0.098593082971
bereft, well-lit: 0.0
reasonably, weighted: 1.12522584074
urgent, visible: 1.39676341899
economical, reyes-torrena: 0.0
imperceptible, overripe: 2.20248041836
resolved, sadder: 0.685274958029
fourteen, reasonnable: 0.0
generated, principally: 1.77728558577
dishonest, injured: 0.726504864783
elaborated, rehearse: 0.998778096944
dangerous, fully: 0.076057073126
established, inaccurate: -0.09627854531
becoming, south: 0.751351946308
continual, fortunate: 0.677166612778
safest, saved: 1.3323778323
gentle, senior: 0.085688799774
magnificent, unfilled: 0.475021829932
lower, vivid: -0.215065466496
large, punchy: 0.291630155548
aggressive, diseased: 0.739127962734
nigeria, potent: -0.468119589269
cold, giddy: 1.11718466854
indigent, switching: -0.245935209448
infeasible, suddenly: 1.06253183355
indiscriminate, life-threatening: 0.0
frequent, starker: 1.45514351604
underway, wierd: 0.255908128545
finest, impaired: 0.444017935517
expanding, milder: 0.228198105673
sell, suited: 0.393740153091
severe, unfathomable: 1.20913123731
exceptional, unprepared: 0.362810782204
realisable, undemocratic: 0.0
disrespect, undecided: 0.579108304937
debatable, irritable: 0.344781391113
need, over-optimistic: 0.0
achievable, hiv: 0.274536802073
adequate, impoverished: 1.42448745421
occurring, perfect: 0.141033376234
state-of-the-art, unjustified: 0.0
fascinated, subtler: 1.74843524884
coherent, some: 0.363062577678
clearest, skint: 0.735533666371
immediate, valid: 1.3635504767
thriving, wonderful: 2.13307703459
handed, profound: 0.299091817938
humiliated, lead: 0.829340765895
lengthy, magic: -0.422288062434
observant, responsable: 0.566456164473
co-financing, solid: 0.0
unsteady, used: 0.427436927888
admissible, well-known: 0.0
cheap, unrealistic: 1.61935955641
bogus, overkill: 1.82353166695
oriental, owned: 0.29960909912
best-known, limited: 0.0
groundless, intrusive: 1.74541525406
disappointing, fascinating: 2.09430147411
sober, well-received: 0.0
lucid, simplistic: 2.70746013479
babe, cited: -0.788981442346
essential, primordial: 1.75896486671
imperative, supreme: 0.845330466889
futile, intelligent: 0.978465687576
childish, cruellest: 2.54156391959
enlightening, undisputed: 0.177470400015
feasible, interlinked: 1.82513397711
sustained, two: 0.605146020102
accustomed, ah: -0.010358429819
responsibility, unable: 0.672810287849
responsibility, vivid: -0.279031925914
cold-rolled, convenient: 0.0
henry, shorty: 2.99279631761
crushed, so: 0.279703234626
effortless, served: -0.607709540932
classic, frantic: 0.962862588199
