monstrous, unable: 0.526513176469
granted, hither: 0.166757111295
expeditious, reconcilable: 1.92698804586
atrocious, delayed: 0.896625704253
clearest, presented: 1.41788731623
co-funding, increasing: 0.0
dependable, unidentified: 0.46944109168
far-reaching, nearly: 0.0
sensible, unmistakable: 0.701930720916
kinda, open-minded: 0.0
distribution, special: 0.451567742603
inconsiderable, smallest: 1.9384663606
high-tech, major: 0.0
brain-dead, very: 0.0
distasteful, meaningless: 3.05921011206
broader, unremarkable: 0.482615604465
strict, wanted: 0.765528303836
perfectly, unfriendly: 0.584418018306
comfortable, favorite: 1.4512590447
defined, toxic: 0.858819001313
awaken, variable: -0.239478696971
cinematography, final: 0.030976793509
worse, yeah: 1.56774795943
presently, professionally: 1.10807398421
concerned, prouder: 1.99771027522
northern, subordinate: 0.357026657844
corrigendum, costly: 0.149267782267
bad, democratically: 0.57702827425
blatant, linked: 0.39826638788
beautiful, high-quality: 0.0
economically, private: 0.449159057958
occupational, troubled: -0.126438004897
unacceptable, weakest: 1.6100700888
key, realisable: 0.0
cabbage, usually: 1.1886625179
lousy, speedier: 0.87193580644
negligeable, sinful: 0.0
bullshit, registered: -0.717828310184
under-age, very: 0.0
laughable, unendurable: 2.29606495954
a-okay, seen: 0.0
adulthood, recognizing: 1.55961486235
debatable, well-developed: 0.0
growin, intentionally: -0.701736302821
distasteful, various: 0.594906531399
antagonistic, indiscriminate: 1.70942797973
hereto, kane: 0.176849311695
broad, refreshing: 0.791298266803
brilliant, precious: 1.66492990513
alarming, flashing: 1.31744099865
but, happening: 0.844140347554
brillant, cardinal: 0.536207813571
criminal, worried: 0.70407199119
substandard, warmest: 0.282116078677
mission-critical, petite: 0.0
recommended, vibrant: 0.011711445079
arduous, syrupy: 1.08195078224
crippled, cute: 0.697186733595
heartbroken, overwrought: 1.9591024486
geographic, worth: -0.163022038733
quicker, trendy: 0.178151211798
illustrative, inexhaustible: 1.15640802188
advanced, maximal: 0.828513308597
coming, secured: 0.64360481358
by-election, green: 0.0
dynamite, pragmatic: 0.260975483671
addictive, surer: 0.88609245547
nosey, receivable: 0.0
harder, upstanding: -0.28297143981
net, resistant: -0.282150921009
safe, tiresome: 0.049217133224
imported, woolly: 0.900496106469
absent-minded, enabled: 0.0
expressed, invested: 1.17314796854
exhaustive, praiseworthy: 1.69543641204
destabilizing, environment: 1.23573671957
closest, talented: 0.563280111675
crystal-clear, solid: 0.0
arguable, bare: 0.997028264509
rapidly, slightly: 1.1194547253
gullible, unemployed: 1.96798939451
ensuring, interdisciplinary: 0.478447593514
better-educated, intended: 0.0
accurate, kosher: 1.10950031351
-just, hateful: 0.0
dire, recommended: 0.390956514426
all-encompassing, developed: 0.0
merciful, stranger: 1.50436694547
granted, hurtful: -0.282294348819
unforeseen, well-known: 0.0
anti-constitutional, rarer: 0.0
old-fashioned, unjust: 0.0
captain, than: -0.104946982027
monthly, sharp: 0.698680736744
flexibility, ice-cold: 0.0
constituted, wacko: 0.21597128064
extra, understanding: 0.354899129866
overemotional, well-protected: 0.0
-ready, second: 0.0
prosperous, virtuous: 3.4296292665
convenient, drier: 1.32613897261
dorky, tough: 1.21682564608
died, refusal: 0.49612656876
19, systemic: 0.0
fancy, intrusive: 0.829013541595
allowable, meritorious: 0.814792797665
folks, lacking: 0.618084310002
right-, so: 0.0
illustrative, well-respected: 0.0
associated, under-inclusive: 0.0
battered, prohibitive: 0.323563984427
astute, charmed: 2.37680843078
fast, granted: 0.375154234904
comforting, lightweight: 0.500463398959
light, pertinent: 0.643654174641
radiant, unemployed: 0.840606853677
diligent, unthinkable: -0.076800726139
continual, interminable: 2.65720226076
humiliating, nascent: 0.160162897333
occupational, really: 0.214061197056
pale, quieter: 1.26415339524
expeditious, inferior: 0.576038809725
cohesive, payable: 0.690215322271
edible, ignored: 0.471971591382
muscovite, obsolete: 0.274253246571
adaptive, gratifying: 1.16877513713
co-dependent, well-defined: 0
!, hither: 0.0
brittle, find: 0.638924947215
dear, radical: 0.793627864278
lousy, significantly: 0.479157502335
inevitable, reasoned: 1.23017204714
further, happening: 0.66070101736
obsessed, sold: 0.556545390111
given, spaced: 0.794473476006
exposed, thready: 0.884669064259
long-term, lucky: 0.0
growin, indecent: -0.475855887398
stupid, well-represented: 0.0
enjoyable, omnipresent: 0.918600066693
chosen, ultra-hazardous: 0.0
daft, minor: 1.13532178201
commercial, exhausted: 0.082812559316
commercial, jolly: 0.115902327116
long-term, repeated: 0.0
aroused, clearest: 0.581930872469
long-range, small-scale: 0
growing, improved: 1.32209874324
intricate, time-consuming: 0.0
far, funnier: 1.19602309234
daft, suspected: 0.243890354094
juvenile, overall: 0.543484863083
checked, retard: 0.451710879783
hearty, surrounded: 0.579497627427
milder, multi-faceted: 0.0
icy, wet: 4.49837422612
prepared, rational: 0.98805013504
corrupt, flicka: 0.0
affordable, wasted: 0.351288792295
judicious, smartest: 2.58401551642
affordable, fewer: 0.989057401723
entrenched, stale: 2.23757339789
better, toasted: 0.764811734701
null, payable: 3.66365650657
ineffective, wetter: 0.56344305778
live, quickest: 0.289449650107
minute, progress: 0.121210680971
elongated, inflexible: 2.02956411335
meritorious, presentable: 1.4138130922
concrete, splendid: 0.40643050116
overflowing, pitiable: 1.73413701915
exhausted, incorrect: 1.34883221786
bolder, co-operate: 0.0
alarmed, confrontational: 1.96361962614
frazzled, sleeping: 1.82587609048
bankrupt, sadder: 1.19381177373
eccentric, somewhat: 1.50482061376
henry, self-sustained: 0.0
concerned, majeure: -0.007969831736
alone, lucky: 0.794440682811
apt, least: 0.22710224621
idle, overflowing: 1.6607025737
consultation, soaked: -0.312321170563
thankful, thought-out: 0.0
certified, removed: 1.49837574528
19, satisfying: 0.0
gay, shaun: 0.319201684033
hurry, prohibited: 0.127964732311
effectively, exhilarating: 0.601109685625
recheck, term: 0.253795378883
immersive, irrational: 0.99530327189
personalized, retrievable: 2.84472196089
forever, huh: 2.22087438783
loveable, necessary: -0.175017934649
effective, fried: 0.026575640871
harmful, rash: 0.952801430093
cozy, forthwith: -0.205979746763
diversified, shorty: -0.150996396519
handling, tall: 0.408987440877
actionable, clever: 1.27896681147
co-dependent, stress-related: 0
flawed, fun: 0.427870793706
iovely, nervous: 0.0
this, youthful: 0.500628495903
certified, chilly: -0.639284311366
extensible, standardized: 3.91848884992
constructed, unusual: -0.177988890892
sombre, unsure: 0.837559771402
importantly, open-ended: 0.0
critical, frightened: 0.785513701098
celebrated, equitable: 0.337574731916
sealed, unsteady: 0.04834702564
hurry, rock-hard: 0.0
divided, momentary: 0.142007182328
illiterate, ruined: 1.42435906207
enabled, saying: -0.291710047032
insincere, unchangeable: 2.38340102093
troubling, unfeasible: 1.28421680539
astounded, satisfactory: 1.33769640364
attentive, overweight: 1.6612483421
registered, suspected: 1.75505654231
baseless, restrictive: 1.04842309382
enthusiastic, induced: -0.455061714227
ill-conceived, uncanny: 0.0
rude, scalable: 0.297448056549
derisory, hands-on: 0.0
a, considerate: 0.0
