sincere, treacherous: 0.638343530413
ping-pong, returned: 0.0
bastard, enrolled: 0.53291778535
encouraged, laborious: 0.390150906519
comercial, lean: 0.118858853245
encouraged, necessarily: 1.13737825008
properly, regrettable: 0.994960155194
commercial, magical: 0.214775614848
muchfor, unaffected: 0.0
fairer, otherwise: 0.330728583327
displeased, encompassing: -0.234226102326
nascent, still: 1.24785526795
daily, long-winded: 0.0
milder, preposterous: 0.621583717082
harder, probable: 1.00411504603
bold, neat: 1.38421426238
longest, well-behaved: 0.0
correctly, exposed: 0.471642152773
subtler, utilized: 0.484431032753
ensuring, however: 0.447433341392
inconceivable, rigid: 0.812929215302
closer, considered: 0.744842297229
largest, unwarranted: 0.579031592429
beter, close: 0.221741699123
exposed, tense: 0.543182071486
co-ordinated, incompatible: 0.0
bulletproof, substantiated: 0.906377581342
consistent, deceptive: 1.77717146824
arming, rogue: 2.90806437509
dispute, madness: 1.43294690656
hysterical, workable: 0.80776337925
about, redeemable: 0.063759076392
considerate, darkest: 1.34163665021
notable, testy: 0.581507802017
called, handled: 0.864123637542
dazzling, evil: 0.645673573598
super, treasured: 0.100695306171
apart, presentable: 1.34510593899
demand-driven, unqualified: 0.0
emblematic, potent: 1.28345587819
awesome, non-transparent: 0.0
okey, unfortunate: 0.627732745717
anticipated, known: 1.41533301847
devastating, well-written: 0.0
disabled, see-through: 0.0
nice-looking, treated: 0.0
icy, lame: 1.02067707242
opportune, tardy: 1.56392614383
enabled, fairly: 0.778473822412
lukewarm, rather: 0.582869293762
compelling, high-tech: 0.0
lately, well-done: 0.0
longstanding, loving: 0.930963121725
pretentious, secondary: 0.083866053976
mandatory, vice-chairmen: 0.0
comforting, reason: 0.991497426757
loyal, retarded: 0.115372131406
foul, unsound: 1.5980485602
even, undisputable: 0.339061662078
average, nut: -0.184701494687
addition, key: 0.775302767671
integrating, meaningless: -0.034201446136
last-minute, rooted: 0.0
horny, yesterday: 0.138946662707
darker, glorious: 2.18539042389
