all-important, low-skilled: 0
chubby, well-behaved: 0.0
biggest, good: 1.27403765909
realistic, warmer: 1.21568261315
current, unfortunate: 0.800279561978
commenced, enlightening: 0.610972584774
grievous, transparency: 0.034257200324
geographical, ourselves: 1.20003330231
granted, use: 0.602291933844
enhancement, intricate: 0.437257719328
rad, seventh: -0.393006683652
laughable, unseemly: 3.44309501327
perilous, uppermost: 1.65910979055
delicious, task-oriented: 0.0
creepy, restful: 2.41504303679
psychotic, self-explanatory: 0.0
grumpy, ioaded: 0.0
amiss, handled: 1.0375066332
generally, overridden: 0.625716089798
cleverer, founded: 1.26120551137
moderately, naturalistic: 0.651826006548
guaranteed, managed: 1.35242373894
indicated, mentioned: 2.66657810263
deliberate, naive: 1.69572213813
heights, perplexed: 0.203811555259
equal, lengthy: -0.384196699067
appropriate, entertaining: 1.16561717281
handicapped, possible: 0.300955753497
insignificant, largest: 0.870767270667
different, unfettered: 0.511459267071
sentient, substantial: 0.361378370638
grim, visual: 1.34982272899
premature, probable: 2.6597035566
manifestly, most: 1.27275483516
nathan, running: -0.161889394859
central, discrete: 0.695742842962
convinced, insubstantial: 0.731250892482
apt, mistreated: 0.260969807691
speaking, unrelated: 0.711660830458
illusory, substantive: 2.17289736485
decent, resilient: 2.2794282706
small, tenacious: 0.50897934857
ourselves, presently: 0.653841184313
benign, christian: 1.00072168663
comfy, wholly: 0.968405855494
armed, courrier: 0.355860205602
inspirational, pleasant: 1.90602922861
damaged, radiant: 0.954752641557
exciting, witty: 1.45521122788
shorty, visible: -0.224327038507
darn, unfortunately: 1.58113457309
apt, unanimously: -0.227114886655
choosy, rank: 1.10331066914
aesthetic, task-oriented: 0.0
essential, unsustainable: 2.35669745356
functioning, non-competitive: 0.0
ice-cold, timelier: 0.0
docile, for: 0.048148603973
concerted, preposterous: 1.30063306547
unimportant, unseemly: 2.9556890576
cattled, giant: 0.0
accustomed, awaited: 0.790835140335
madness, particular: 0.431618894803
