effectively, unexceptable: 0.0
reasonnable, super: 0.0
notorious, strongest: 1.45366937963
clear, righteousness: 0.876521334639
stagnant, well: 0.48529313412
scanty, uneconomic: 1.66369258147
senseless, well-armed: 0.0
by-election, stepped-up: 0
messy, sixteen: -0.070393412828
start, unequivocal: -0.036479776467
outdated, tepid: 1.14108971274
achievable, off-putting: 0.0
3rd, worrisome: 0.225636099529
timelier, wide-open: 0.0
impatient, scheduled: 0.729500369051
abolitionist, dissimilar: 1.11386176483
blind, initially: 0.379910826178
furthest, startled: 1.03406346569
elongated, usually: 1.27110128629
drastic, old-fashioned: 0.0
issued, seamless: 0.052201417022
accountability, unreasonable: 1.71931428399
appropriate, constant: 0.796803109735
merry, stark: 0.755820559713
scheduled, two-fold: 0.0
abysmal, magnificent: 2.30278980663
beastly, combative: 1.6574063171
leaner, unspecified: -0.16819461742
illegal, unpopular: 2.16937859182
deceptive, less: 0.61837601325
psychotic, weil: 0.584525633058
powerful, urgently: 0.513851780197
distant, fierce: 1.19013432859
off, restless: 0.476992423098
expandable, imprecise: 0.740986875832
interested, thorough: 1.11593531159
counter, preliminary: 0.099859597512
multiple, pure: 0.366298657738
deceptive, unanimously: 0.180305382796
etcetera, icy: -0.120879435396
disgraceful, personalized: -0.038364738338
fussy, relieved: 1.45443833842
moderate, opposed: 1.05397282824
contradictory, justiciable: 3.02254295874
messy, refreshing: 1.77832266776
irresponsible, rationalized: 2.02832655642
handicapped, serious: 0.918795679019
heated, wondrous: 0.429547357261
recognising, strictest: 0.0
per, proven: -0.058620025867
cross-border, customary: 0.0
doctor, peculiar: 0.627851530179
audacious, remote: 0.478567804897
deposited, overflowing: 1.86300874337
added, polluting: -0.333135206588
mama, unavailable: -0.325812130032
busy, out-dated: 0.0
comin, obliged: 0.640660703154
aware, compensatory: 0.290994493423
courrier, vulgar: 0.945581013483
physical, quick: 0.751057479403
listed, refreshing: -0.19725137575
disturbed, non-binding: 0.0
justifiable, undamaged: 0.833370811363
confused, ravishing: 0.605528888886
equipped, responsive: 2.48127221496
careful, innocent: 1.52510495999
l, tempting: 0.008752470474
lastly, thought-out: 0.0
cognizant, most: 0.749768317415
healthy, poisonous: 1.3619197447
beautifui, compliant: 0.0
generated, grass-roots: 0.0
accuracy, genuine: 1.19260971681
complimentary, screwy: 0.455467541908
confusing, lean: 0.508829826751
redeemable, small-time: 0.0
commensurate, perpetual: 1.58062928683
disciplined, however: 0.77777095124
grown, informal: 0.894179275091
biased, obscene: 2.21404037188
impressive, simpler: 0.267947683175
2nd, coordinated: 0.246561513576
impressed, self-sufficiency: 0.0
defunct, talented: -0.068325332973
obliged, widely: 0.152051032197
informative, unforeseen: -0.117936686918
disquieting, indicative: 1.63043715264
acknowledged, ludicrous: 0.575777289185
perplexed, visual: 0.605407005178
underpaid, woken: 1.54355043561
catastrophic, designated: 0.420415485652
builshit, ineffectual: 0.0
dual, master: 1.23865243917
curious, rock-solid: 0.0
hey, policy: 0.359201125902
confidentiality, northeastern: -0.077881610405
go, payable: 1.4365265323
managed, out-dated: 0.0
inviolable, old-timer: 0.0
depraved, unforeseen: 0.277543684531
effective, lonesome: -0.066382600442
calculated, organized: 1.50061979707
determined, homosexual: 0.208937358801
extinct, poisonous: 3.09096800749
abreast, starker: 0.572302550912
savage, under-inclusive: 0.0
abysmal, neurotic: 0.635813338147
multifaceted, right-handed: 0.0
all-powerful, ghastly: 0.0
facilitated, initial: 0.735082748785
however, yourself: -0.125148131997
discussion, technical: 0.603012338079
belligerent, well-reputed: 0.0
david, kosher: 1.1262764198
biased, missy: 0.406644844326
adjacent, historic: 1.84109541072
centralized, ruined: 0.103290863956
emerged, heaviest: 0.654319134336
routine, troubled: 0.539813103499
domestic, targeted: 0.592614063427
indisposed, sharp: -0.511474746206
faultless, particular: 0.615249251557
durable, indispensible: 1.94471906687
intact, sound: 1.15764823145
him, vis-: 0.0
difficult, sane: 1.37307164807
impolite, unable: 1.11329725023
in-progress, secured: 0.0
deliberately, invariable: 0.253757597653
bygones, desirable: -0.109000868904
restrictive, utopian: 2.37863361332
offensive, well-treated: 0.0
generated, testy: -0.235971540792
