adapted, marketed: 2.89288611474
easiest, two-pronged: 0.0
delicate, plenty: 0.485224879499
life-long, predictability: 0.0
aging, same: 0.125678104783
goofy, stipulated: -0.078930956041
impulsive, specialised: 0.0
antagonistic, simillar: 0.175210984006
courageous, mechanical: -0.140930942753
abysmal, generally: 0.79476507179
invaluable, west: -0.203149727469
hilarious, outrageous: 3.61186515454
attainable, withdrawn: 0.226468307764
deplorable, flush: 0.009872597204
instructive, tiring: 1.28664843603
justiciable, under-age: 0.0
graceful, precisely: 1.14830816089
firstly, well-lit: 0.0
a, snappy: 0.0
a, ridonc: 0
consistent, rampant: 0.936707074462
infuriating, trashy: 2.19469696072
fuller, identified: -0.120892662236
soaring, young: 0.558405799046
general, telling: 0.616131872809
mature, polite: 2.63791888813
funded, tedious: 0.518984146942
level, utilized: 0.290191276169
exact, trite: 0.696617673048
precise, relaxing: 0.91817431029
contaminated, unnecessary: 1.23529851591
prat, thick: 0.504917417507
completed, hourly: 0.293372237704
answerable, ravishing: 0.460768585624
convinced, fluid: 0.158751429617
faster, unremarkable: -0.173847578503
eerie, free-standing: 0.0
earlier, moderately: 0.459693207787
directly, self-governing: 0.0
identifiable, notorious: 1.09986353388
recommended, terrible: 0.059938099005
apologise, saying: 0.0
abolished, retarded: 2.24331774302
annoying, else: 1.49294399535
underlying, well-established: 0.0
gonna, jealous: 2.5688115645
co-operative, outermost: 0.0
co-chairperson, heeded: 0.0
awful, peaceful: 0.468008275489
disgusting, responsable: 2.36139591857
modified, secret: 0.615838087092
me, princess: 1.08221205041
sudden, welcome: 1.11716086813
appointed, builshit: 0.0
sacred, vigilant: 1.58352676472
infrequent, significantly: 1.4274626859
nicer, sluggish: 1.02515172483
korea, overlooked: 0.775687972751
numerous, shaking: 0.378278009522
all-round, ever-increasing: 0
cool, repeating: 0.54437708986
sunnier, telling: 0.773945421445
exquisite, unproductive: 0.143464344252
better-quality, physical: 0.0
forgotten, secondary: 0.663721507678
favoured, inevitable: 0.0
dramatic, non-toxic: 0.0
proportional, unchangeable: 1.75065361841
aggrieved, hurtin: 0.609093608681
pitch-dark, prompt: 0.0
course, sal: -0.017331548889
newsworthy, reasoned: 1.53340089354
1st, eighth: 2.53716721061
dazzling, tiresome: 1.30458300033
favoured, hunger: 0.0
agreed, focussed: 0.634188233127
addition, insufferable: 0.384183846225
disappeared, shortly: 1.67569400341
accelerating, restricted: 0.627627596354
deceptive, shit: 0.699224435819
incompatible, trippy: 1.13222361603
constrained, unmistakable: 0.100220701648
delineated, dry: 0.864966278679
hostile, successfully: 1.05561615051
homosexual, multifocal: 1.42763026993
bereft, ruined: 2.89848514988
low-skilled, universal: 0.0
broad-based, realistic: 0.0
firm, vigorous: 0.873161859449
ggood, salute: 0.0
find, flammable: 0.37379264267
domestic, patent: 0.896211212749
crushed, furthermore: -0.231308025988
all-powerful, significant: 0.0
designated, third: 0.645107723701
medium-sized, skint: 0.0
critical, largest: 1.15366225102
science-based, sleeping: 0.0
binding, ju: -0.105551438381
mutual, temporary: 0.826607984716
max, praiseworthy: -0.031038964251
unique, west: 0.076556454055
brief, docile: 0.795326219564
democratically, fastest: 0.516759015009
negative, preposterous: 0.936276689718
asinine, jump: 0.638573592313
almighty, certainly: 1.64327298656
dressed, wide-ranging: 0.0
screwy, unsafe: 1.3188713609
cost-efficient, difficult: 0.0
comercial, shitless: 0.740493103675
annoyed, mandatory: 0.68378772625
like, uncomplicated: 0.787704671213
equal, last-minute: 0.0
applicable, unworkable: 1.6133594863
extreme, withdrawn: 0.383603620382
infeasible, well-placed: 0.0
disadvantaged, grouchy: 1.11809693662
addictive, clerical: -0.523580061979
fewer, sustainable: 0.421504526787
migratory, panicky: 1.60962111179
envious, illiterate: 2.01524128065
innocents, pertinent: 0.533267152892
muscovite, unfair: -0.203054660334
business-friendly, results-oriented: 0
charming, respectable: 1.7952236557
complacent, existing: 0.218910890693
cost-effectively, them: 0.0
death-proof, west: 0.0
far-reaching, note: 0.0
appreciable, painful: 0.704146703211
objectionable, turbulent: 0.335022192121
leading, proficient: 0.439300560825
geek, problematical: 0.462102530714
iovely, noticeable: 0.0
misleading, today: 0.310285973611
eventually, gravest: -0.161020285316
inaudible, launched: -0.247168336826
accustomed, labour-intensive: 0.0
homosexual, processing: -0.674985452972
laughable, opening: 0.371614012764
innocent, tougher: 0.225465856429
unbearable, wholesome: 1.03373365075
likely, wish: 1.28729778177
achievable, co-chairperson: 0.0
fun-loving, tolerable: 0.0
unaffected, wanna: -0.259546128982
celebrities, malignant: 0.689995916935
elite, overheard: 0.332464536269
academic, being: 0.557712665896
superb, thirteen: 0.50511251795
dangerous, slick: 2.53089596472
odd, shaky: 2.13424144918
comforting, crafted: 0.88656538181
implacable, misused: -0.17439086184
dearer, still: 0.190980498455
abysmal, contemptible: 2.96466819372
automated, muted: 0.48918875376
find, spooky: 0.602877010037
sociable, sparse: 1.6945484438
impressed, microscopic: 0.197285579717
illusory, tied: 0.628370439851
sultry, unhappy: 0.591593204322
ill-founded, shipshape: 0.0
inexcusable, insurmountable: 2.32286193268
modernized, sporadic: 0.161340422839
above, sporadic: 0.344905621245
korea, sentimental: 0.186108324612
equitable, wait: 0.942781731178
abysmal, flagrant: 1.87453279036
expedient, pathway: 1.22997717311
normally, win: -0.162157853668
at, various: 0.411146940024
non-discriminatory, realizing: 0.0
mightier, sticky: 1.39197338916
overdue, unimaginable: 0.731919783868
