fiercer, pivotal: 1.84417795573
automatic, optional: 4.05823696166
badly, dispersal: -0.186486005251
mama, non-specific: 0.0
private, seductive: 0.164475065455
furthermore, impeccable: 0.665703957878
directly, non-partisan: 0.0
human, ten: -0.037976179034
pro, vibrant: 0.275634327291
harder, quickly: 1.60029634155
decided, mindful: 1.03851477679
implausible, nonsensical: 4.1512515968
additionally, countless: 0.716037278626
callous, sharper: 0.062276777648
bolder, dumb: 1.39041433189
discreet, iil: 0.0
fairer, inviolable: 1.76960917071
sappy, state-owned: 0.0
admiral, defenceless: 0.0
multi-faceted, processing: 0.0
ludicrous, realizing: 0.198711550449
divergent, overpriced: 0.757212849393
inexplicable, systemic: 1.15733499663
sonny, transitional: -0.322258202689
prevalent, really: 0.471962951823
slick, unconventional: 1.78416775277
asinine, puzzling: 2.5615980501
long-range, understand: 0.0
fullest, refreshing: 0.751537664367
losin, predictability: 0.124680312707
amazed, trusted: 0.931340158919
selfish, straightaway: 0.645492318006
fast-switched, uneven: 0.0
bull, immersive: -0.185165361726
crude, universal: 0.190078223429
admiral, practical: 0.350494058295
optional, overpriced: 1.4454842428
convenient, shifty: 1.02725094771
explained, irrational: 1.00675004732
anonymous, hypersensitive: 1.96646183924
infeasible, ioaded: 0.0
declared, selfish: 0.749987449205
giant, well-lit: 0.0
especiaily, obstinate: 0.0
hardworking, lonesome: 1.64105083872
improvement, part: 0.749695077156
cute, unavoidable: 1.04666038634
inescapable, rusted: 1.42249234675
monthly, stylish: 0.448017595313
standing, subsidized: 0.300008982359
longstanding, skeletal: 0.14037833933
like, wicked: 1.04125126804
lonely, rescinded: -0.474283433586
darker, fourteen: 0.404620410322
dispersal, mixed: 2.04470083472
oral, stay: 0.136265485305
distinguishable, house-trained: 0.0
muscovite, tiresome: 0.36646367302
fancy, resistant: 0.95308531232
dirty, sooner: 1.102862957
task-oriented, tolerated: 0.0
embarrassing, self-employed: 0.0
defective, undisputable: 0.683576967317
conservative, devastating: 0.375368387428
double, planned: 0.544788305281
discretionary, multi-ethnic: 0.0
aggrieved, tailored: 0.967102360039
increasing, richest: 0.693831379181
cost-effectively, similarly: 0.0
co-funding, time: 0.0
defeated, obscure: 0.319862968995
embarrassed, missing: 1.30723540452
either, spectacular: 0.234077534822
dandy, tolerable: 1.88215635791
objective, welcome: 0.393734870444
else, plausible: 1.26551274835
naturalistic, strained: 0.063813344826
anticipated, inconclusive: 0.885049212147
honourable, lengthier: 0.0
brighter, minuscule: 0.723974043767
forlorn, unjustified: 0.590700186366
also, clear: 0.482964012385
marvellous, ping-pong: 0
granted, synergistic: -0.40556991034
lifelong, previously: 0.546955857618
former, lightweight: 0.379812960833
likely, shitty: 0.046888823074
darkest, propitious: 2.58432510373
co-funding, righteousness: 0.0
another, ludicrous: 0.747336715982
enhancing, predominantly: 0.993510417889
distant, so: 0.715143622501
few, stunning: 0.629593593962
least, specific: 0.546597884533
compassionate, ideally: 0.75263419397
equipped, perpetual: 0.00787681316
grateful, impracticable: 3.35731727795
defenceless, unproductive: 0.0
dissimilar, security: -0.111353651302
legibly, technology-neutral: 0.0
ineffectual, touchy: 1.74322537594
inconsiderable, wetter: -0.949979089739
briefly, principal: 0.725049520501
etc, flawless: -0.152786361966
loco, silent: 0.878445441926
exact, graduate: 0.236704519387
flawless, six-year: 0.0
disrespectful, impressed: 2.04006721641
apt, understandable: 2.04258972467
hideous, lame: 3.59359136039
commitment, nice: 0.197927173081
compassionate, interrelated: 0.681781063494
acquired, major: 0.623279860425
gullible, psyched: 1.12046717871
intractable, theoretical: 2.12163639809
industrial, unlimited: 0.51454608442
innocuous, spooky: 1.61452009795
bankrupt, carmela: 0.0
darker, us: 0.781512614775
larger, tempting: 0.916950679991
malignant, troubled: 0.181823805831
shorty, though: 0.600144519676
flagrant, predictable: 1.17962877786
proceed, secondly: 0.630613822155
commercial, lower: 0.728289529741
okay, tougher: 1.73753390431
senior, simillar: -0.281117109978
everywhere, unclear: 0.75227214967
acceding, resolute: 1.77478863401
compassionate, formal: 0.656581772975
beneficial, well-reputed: 0.0
alien, unbearable: 1.83599535878
fundamental, intertwined: 2.14196119303
celebrated, ethical: -0.134084340958
any, dedicated: 0.21259266784
precious, vigorous: 0.894128306284
functionally, wholesome: 0.558893385344
multi-ethnic, rusted: 0.0
shut, thirds: 1.15126511623
distasteful, lazy: 2.233764511
excitable, triple: -0.017424937951
organized, self-sustaining: 0.0
goofy, prohibited: 0.532139591231
darker, promptly: -0.160551802928
genuinely, girl: 0.533623619217
history, payable: 0.119489719745
genius, uppermost: 0.565914049218
convenient, invariable: 1.19447906528
cozy, healthy: 1.39369245479
appreciated, jealous: 1.65210749506
cordial, integrated: 0.528548868105
precious, progressive: 0.481073611115
harmless, shot: 0.532280570269
disorientated, inexpensive: -0.691840351236
counter-productive, it: 0.0
freer, together: 0.667558980983
increasingly, righteousness: 0.9290577902
brave, denser: 0.046822905508
restored, underprivileged: 0.320174780326
increasing, sobering: 0.880934646283
government-owned, safer: 0.0
impaired, require: 1.21461000951
claire, proprietary: 0.200972804937
accustomed, nonsense: 0.670074573364
selected, sharp: 0.007046076745
cognizant, two-pronged: 0.0
fussy, medical: 0.367330462403
described, for: 0.553929053706
directly, preoccupied: 0.301328934078
cautious, unoccupied: 1.22933958745
cost-shared, interdisciplinary: 0.0
cheery, unachievable: 0.675945222354
science-based, unrelated: 0.0
ice-cold, organic: 0.0
executory, sappy: 3.53780484882
dispersal, innocuous: 0.659175540925
brand-new, incomplete: 0.0
extraneous, rarest: 1.09859464128
commendable, edible: 0.753986011746
forlorn, strongly: 0.039408264597
advanced, courageous: 0.770299491449
hurry, manageable: 0.836962419789
before, frankenstein: 0.044795843419
sketchy, utilized: 0.431302713142
anxious, idiotic: 0.188346520334
involved, last: 0.214240436218
guys, schizo: 1.40689843512
advisable, softer: 0.702117874827
franco, idiot: 1.62663868633
irregular, redundant: 1.16321794769
heaviest, needless: 1.02376060261
expandable, simillar: 0.653361487078
incongruous, inefficient: 2.0233232253
frightful, unjust: 1.55787973558
depraved, felt: 0.499547190387
commenced, tight: -0.039342950273
breadth, inflexible: 0.722726385792
home, well: 0.229084962081
flawed, lasting: 0.542021973523
pro-poor, symbolic: 0.0
off-putting, subtle: 0.0
rarest, sophisticated: 1.20154909934
slow, unattainable: 1.11527830294
comprehensively, moister: -0.369076532619
furthest, traditional: 0.646672579193
severe, up: 0.230242766306
dedicated, disrespectful: 0.440873315915
lately, so: 1.43222528368
agreed, splendid: -0.033870801963
agreement, note: 1.15298999659
knackered, temporarily: 0.123817241167
liable, well-respected: 0.0
-lncredible, designed: 0.0
crummy, whilst: 0.383873696935
exquisite, recognizes: 0.213689648962
distinctive, progressive: 1.7094848931
anymore, proceed: 0.174022046674
brave, definitive: 0.629711788383
lead, spoilt: 0.0
complete, rock-hard: 0.0
all-encompassing, sympathetic: 0.0
maintained, pleased: 0.71186167836
apace, run: 0.670715809658
brightest, modernizing: 0.722494973
complete, weil: -0.262889232979
bonnie, to: 0.0
disoriented, impenetrable: 2.37190137353
affirmative, annoyed: 0.469264003711
documented, engagement: 0.259096678158
expedient, feasible: 3.59207708077
major, robust: 0.749603722956
awaken, conventional: -0.519585518893
constantly, self-sustaining: 0.0
life-threatening, thought-out: 0
elected, upbeat: 0.479402552534
herein, scary: 0.822571959585
agreeable, note: 0.825959997727
boundless, sacred: 1.66408221052
affordable, calm: 0.811316885535
annulled, designated: 1.13456357442
obligatory, shortly: 0.493731306709
task-oriented, us: 0.0
futile, workable: 2.03861038366
awake, concerted: 0.298656683042
circumneutral, demeaning: 0.0
voluntary, way: 0.366578085018
everywhere, overall: -0.063850727383
loveable, romantic: 2.28012420043
efficacy, rational: 1.55717390164
eighth, especially: 0.131044516763
nude, preponderant: 0.109721252333
charming, unsafe: 0.537563858884
handled, madness: -0.318567486892
capable, creditable: 1.61508900147
centralized, multi-faceted: 0.0
childish, thankful: 1.30359093466
heavyset, holistic: 0.165195866724
amusing, outdated: 1.36091343604
shameful, sixteen: 0.646821174431
nascent, spaced: -0.245915785321
treacherous, wasted: 0.613499543233
disparate, rusted: 1.37939436687
owned, well-structured: 0.0
effortless, understanding: 0.294577935219
indigent, missy: -0.171368319908
fearless, overambitious: 1.34684993098
fairly, infamous: -0.498803341588
immaculate, shorty: 0.917891297445
juvenile, korean: -0.216694765835
refrigerated, tragic: 0.255719384641
instable, required: -0.02885837346
massive, sloppy: 0.739565413507
hotter, omnipresent: 1.24487392946
seriously, watchful: 1.10814070199
presented, protracted: 0.431477228571
reasonably, say: 0.993606521216
heavyset, sluggish: 1.04516995037
focussed, sinister: 0.558464407483
odious, richest: 1.69932315842
single-ranked, undetermined: 0.0
dark, screwy: 1.66009816754
maximal, steady: 1.50868860021
even-handed, gullible: 0.0
missingg, somewhat: 0.0
identified, workable: 0.407925989932
effectiveness, indisputable: 1.12085097326
equitable, happiest: 1.07902552341
goodto, unnecessary: 0.0
export, specialised: 0.0
fairest, intrusive: 1.18991833107
under-inclusive, well-done: 0
deposited, instead: 0.625386190008
exquisite, frequent: 0.487228898567
awful, shut: 0.67742311498
mortal, notorious: 0.817393566812
all-round, contrary: 0.0
neat, overdue: 1.3157987649
good, received: 0.627281526487
astute, long-range: 0.0
fabulous, stark: 1.39889749117
disappointing, equally: 0.584420617883
classy, insane: 0.944434545642
multi-layered, optimal: 0.0
contradictory, weil: 0.081679614116
ghastly, smartest: 0.603655465072
narrower, underpaid: -0.46536730898
searchable, worried: -0.181097373859
costlier, repealed: 1.96888292825
down, payable: -0.131742391743
definitive, deprived: -0.089076070864
blatant, debated: 0.343962636771
autonomous, interdisciplinary: 2.93285996234
iike, particular: 0.0
public, reduced: 0.380587178589
flavorful, humiliating: 0.659104263846
consideration, nothingg: 0.0
oldest, say: 0.435270054062
smarter, subdued: 1.08719102432
right, youthful: 0.45830692187
dynamic, transparency: 0.879798687664
preliminary, unwarranted: 0.632385266465
emerged, low: 0.084592605576
likable, trite: 3.38785879089
majeure, stringent: 0.361552385906
commitment, dreamy: -0.205287686073
darling, efficacy: 0.24865472886
exhaustive, rationalized: 0.642255248484
sympathetic, widely: 0.990830574661
graver, stiff: 1.43141784179
one-sided, unsolved: 0.0
broken, iucky: 0.0
