terse, try: 0.19331108423
blind, headstrong: 1.6860130994
restored, seamless: 1.07430382682
addictive, idiots: 1.3128175112
modern, responsible: 0.236809740298
flattered, stay: 0.875523840784
dainty, rational: 0.275125110325
organised, tense: 0.0
huge, meagre: 0.0
legality, moronic: 0.363767239803
adaptable, sentimental: 0.955738760052
indispensible, medium: 0.660283748394
kidding, unhealthy: 0.60648976816
happier, taller: 3.49961500888
death-proof, pretty: 0.0
hip, snotty: 1.72300102546
classy, momentous: 1.45195953353
internal, internationaux: 0.382138795624
mainstream, naked: 0.598607844033
aging, ungrounded: 0.82828172474
housebroken, identified: 0.932420492259
note, relevant: 0.904541448214
-so, clarified: 0.0
arming, created: 0.716827987868
contradictory, dying: 0.815340312352
appreciable, cinematography: 0.725630954308
inconvenient, mutual: -0.247984884198
repeated, stubborn: 1.48084837498
collective, tremendous: 1.56782369716
odious, tabled: 0.598803685385
latest, multiple: 0.817535210778
'sgoing, fuckin: 0.0
stopped, syrupy: 0.227914492298
faster, problematical: 1.35116452142
necessary, pleasant: 0.823647020128
adaptive, latest: 0.553494782486
awesome, massive: 1.56786490876
able, recently: -0.456590072544
kind, sleepy: 1.02942383482
bottled, well-defined: 0.0
found, leading: 0.508876994122
elegant, remote: 0.9545379061
stepped-up, wicked: 0.0
pursuant, quick: 0.016744045964
ju, monstrous: 0.703930096087
obtainable, woolly: -0.210788557994
homicidal, thready: 1.4964650064
distressing, named: -0.214026309028
princess, searchable: 0.247379237447
brainless, defenceless: 0.0
identifiable, necessarily: 1.61768832145
desolate, fast-switched: 0.0
task-oriented, uninsured: 0.0
free-of-charge, revised: 0.0
challenges, weighted: -0.143243302432
dead, single: 0.349890756215
uncertain, well-suited: 0.0
beneficial, dense: 0.984493443105
public, surprised: -0.03103881875
elderly, timelier: -0.671905566693
last-minute, thicker: 0.0
briefly, sleeping: 0.208564168164
culturally, unpublished: 0.352330522619
crude, five: -0.098663724705
uncanny, wealthier: -0.471581368584
fulfilled, lesser: 0.300054694281
aging, faultless: -0.735733434426
environmentally-friendly, innovative: 0.0
awful, efficacy: -0.09980450311
losin, needed: 0.539184938329
physical, well-placed: 0.0
deepest, immaculate: 1.35400918268
beautiful, sharper: 0.854975761325
begin, due: 0.793964559089
equitable, simillar: 0.364440628113
alarming, unequal: 1.68334291939
classical, sweeter: 0.365026822977
acquired, for: 0.217727492351
closed, sooner: 0.392547150061
overjoyed, sized: -0.044195258056
equally, insignificant: 0.723318269072
onerous, substantiated: 0.478090143747
active, unprotected: 1.34941649216
inherent, rare: 1.19017501616
affirmative, currently: 0.30350193279
-ready, complete: 0.0
legality, promising: -0.258276031665
handed, largely: 0.808972835775
s-sorry, timid: 0.0
chosen, wholly: 1.00577306587
fierce, stern: 2.71853877279
griet, preponderant: 0.0
someplace, state-funded: 0.0
decided, reversed: 1.80931364539
-so, drunk: 0.0
baseless, unthinkable: 1.58256192679
case, six-year: 0.0
concentrated, several: 0.529299201712
accessible, disorientated: 1.57330170963
extirpated, subsequent: 0.386950897545
mistreated, surprised: 1.53627050673
essential, improving: 1.56889503457
interestedin, vacant: 0.0
ping-pong, ravishing: 0.0
psychological, reciprocal: 1.54067180177
quiet, technological: -0.223107285748
sacrilegious, woken: 1.0315896966
guilty, potent: 0.90303619899
