disparate, finally: 0.386896262475
reckless, searchable: -0.489232067452
incalculable, small: 1.07811255849
delightful, stark: 1.77015010966
indecent, principally: 0.157674791562
dual, over-the-air: 0.0
long-term, pre-established: 0
across-the-board, mysterious: 0.0
canceled, non-transparent: 0.0
inestimable, sobering: 2.1881893039
oldest, timely: -0.443171201521
l, unsafe: -0.006592676477
concerned, liberated: 0.448757118597
co-funding, fraudulent: 0.0
brain-dead, spotless: 0.0
feeble, latter: 1.29225155624
awake, damaging: 0.008401039029
ever-increasing, properly: 0.0
preponderant, used: 0.484235238521
separate, shy: 0.522175231748
infuriating, varying: 1.19753341453
at, synergistic: -0.196715383241
miniscule, unchangeable: 0.979978263769
apposite, grand: 0.910409008267
in-flight, sketchy: 0.0
gone, irreconcilable: 0.220257008255
farther, unendurable: 0.711652134382
stout, unanimously: 0.107257070113
free, gutsy: 0.240612548379
ample, debated: 0.389365210734
defenceless, stubborn: 0.0
grouchy, spectacular: 0.181177413756
creation, unspeakable: 0.567160719052
categorical, co-funded: 0.0
danger, scattered: 0.170747780656
fledged, specific: -0.539787637801
docile, mindful: 1.52735844906
complacent, unhealthy: 2.40447453298
christian, neat: 1.20992890524
growing, multi-ethnic: 0.0
distant, lastly: 0.556178001943
darker, trivial: 1.2749272885
stipulated, workable: 1.56725701615
feeble, vice-chairperson: 0.0
malignant, worthless: 1.80617767322
builshit, expressly: 0.0
almighty, reasonably: 0.538074674393
indisputable, remote: 0.12580696167
realisable, sweet: 0.0
egocentric, serene: 1.98276463124
celebrated, dull: 0.535068319314
longer-term, personalized: 0.0
imminent, well-received: 0.0
anomalous, high-ranking: 0.0
busier, johnny: 0.580848061418
delighted, unambiguous: 0.973052265869
perfect, requests: 0.413393843009
damaged, egregious: 0.454621853771
discrete, good-looking: 0.0
crummy, yearly: 0.474591803325
recommendable, well-served: 0.0
reimbursable, strange: 0.179023239396
ready, tied: 0.656835288894
geographical, industrialized: 1.97455141411
considerate, oriental: 0.718008497987
blameless, immaterial: 3.02551423986
stone-cold, well-protected: 0
formidable, tasteful: 0.782235489614
herein, nathan: 0.684793745814
relieved, yourself: -0.104283745963
wacky, well-timed: 0.0
constant, non-exclusive: 0.0
partially, processing: 0.104941405377
bastard, higher: 0.059497933413
graver, internationaux: 0.633283286244
crass, segregated: 1.20085520138
absurd, myself: 1.82855103101
tan, therefore: 0.28976983223
badly, finally: 1.03195445907
nineteen, through: 0.477569454509
felt, responsibility: 0.579937731347
constantly, fast: 1.92750365731
again, required: 0.091957924004
do, empty: 0.987798598927
long-lived, rampant: 0.0
co-chair, unaffected: 0.0
filthy, recommended: -0.157149417012
competent, nascent: 0.742044164407
emerging, louder: 0.590196291536
historical, ironic: 1.19541478509
executable, widening: -0.3793673359
hateful, obscure: 1.27554524612
better-quality, inconceivable: 0.0
daunting, excitable: 1.7185222087
illogical, quadruple: 0.411905515379
evey, yes: 1.50416176237
populated, simillar: 0.335591455393
assertive, stylish: 2.24038259905
exquisite, satisfactory: 1.18129843346
absolutely, perpendicular: 0.434638815127
impractical, unavailable: 3.88331949872
identify, useable: 1.04518206983
impermissible, regularly: 0.458018539535
actual, aging: 0.55840815481
bizarre, finer: 0.822606449114
pilot-tested, realist: 0.0
harder, ioaded: 0.0
permissible, psyched: 0.387206501125
off, pushy: 0.633718847701
clueless, facultative: -0.406410480987
co-dependent, older: 0.0
repealed, smarty: 0.195307734549
dismissed, unbalanced: 1.25151750141
compelling, folks: 0.602232214256
holistic, top: 0.115793430329
demeaning, year: -0.094011496779
omnipresent, vivid: 2.13886038547
proven, turned: 1.01382775352
common, displeased: 0.149544879698
commended, wrong: 0.672046295763
embedded, overambitious: 0.304024008732
one-sidedly, ruthless: 0.0
enormously, subdued: -0.255017426471
founded, out-dated: 0.0
puny, task-oriented: 0.0
any, growin: 0.166151204576
rotten, strengthening: 0.671602806511
crummy, merciful: 0.96278834169
ggood, thin-skinned: 0
nut, well: 0.680729678153
knowledgeable, nonsensical: 0.507292839101
culturally, slower: -0.112027654715
alive, poorer: 0.223078032047
human, undemocratic: 0.694345725929
extraneous, naughty: 1.41701471586
stocky, unused: -0.476312183047
criminal, given: 0.153670864973
acute, nice-looking: 0.0
roisin, tangible: 0.0
three, uneven: 0.45985051043
industrialised, rock-hard: 0
corrupt, repelling: -0.134819834592
classified, marginal: 1.27358126786
barmy, launching: 0.185039301933
inspiring, relaxed: 1.09117996198
cooler, rather: 1.45256526588
priced, somewhere: 0.942543035645
high-availability, pathway: 0.0
detailed, freak: 0.136248359586
handled, transparency: 0.808288300333
conscious, continuous: 1.04387054354
above-mentioned, hostile: 0.0
generated, moving: 0.591222185674
comfy, groovy: 3.95503651787
