created, precious: 0.423683984603
resolute, unwelcome: 0.928837370955
chilly, privileged: 1.06824868984
archaic, regretful: 1.19973102529
regrettably, wacky: 0.509923253208
conscientious, traffic: 0.950579563517
immaterial, intelligible: 2.02792986154
aggrieved, hollow: 1.79332430673
crowded, reported: -0.091045515646
rotten, these: 0.633482401606
contemptible, unwholesome: 3.77994586217
defenseless, skilful: 2.01757451362
n'tunderstand, sore: 0.0
doomed, sociable: 0.56887394394
mere, objectionable: 0.75075090111
agreeable, steeper: 0.817782043943
begin, ruthless: 0.326074229143
emblematic, historical: 1.90231413338
anymore, naturally: 1.3364448474
durable, nuts: 0.244370234301
boundless, insured: 0.043024842389
intelligent, terse: 1.53813806778
far-reaching, heaviest: 0.0
problem, vulnerable: 1.27922665539
broadest, surrounded: 0.148648021736
happened, strange: 2.22930299864
cohesive, intense: 1.59340772077
jolly, sooner: 0.368107513125
rehearse, systemic: -0.190835772669
under-funded, weil: 0.0
proven, virtually: 1.20813086255
peripheral, smart: 0.689055109171
longest, lowest: 4.37738301544
more, pragmatic: 1.08284697213
non-existent, rehearse: 0.0
harder, lacking: 1.436456123
developing, vegas: -0.711071595024
devastating, overripe: 0.556949465821
ideal, issued: -0.402617172253
ever, knowing: 1.30688812245
drawn-out, unavoidable: 0.0
agreed-upon, surreal: 0.0
boundless, rising: 1.50945345033
friendly, outrageous: 0.369616624439
creepy, friends: 1.29557008024
middle, nascent: 0.540409687442
self-sustained, uneconomic: 0.0
jump, lucid: -0.373335400242
ageing, well-planned: 0
difficult, ridiculous: 2.02978494146
astute, involved: 0.941782005084
elegant, mean: 0.197390446231
increasingly, vague: 0.533158476617
ecstatic, sustainable: 0.648503259476
neat, qualified: 0.496934263227
abrasive, fragile: 2.06594543376
abundant, starved: 2.91161317493
alarmed, shaky: 1.14327401386
partial, uncomplicated: 1.05810430123
durable, mental: 0.212173558215
formerly, lame: -0.652799563317
hopeless, multi-ethnic: 0.0
inconvenient, unsatisfactory: 2.87877868917
clarify, cost-efficient: 0.0
lacklustre, slow: 0.0
enhanced, rife: 0.775480921758
unsound, wild: 1.03283216506
long-lasting, severe: 0.0
adverse, refreshing: 0.486095385591
clueless, fussy: 2.91554302694
clarify, firmer: 1.55745171827
extinct, following: -0.752158525785
discussion, like: 0.180990130292
adjacent, watchful: 0.16842384157
belle, predominantly: 0.850510457411
standard, undemanding: 1.72305026059
flawless, unsatisfactory: 1.79267207078
damaging, vigilant: 1.53228195454
annulled, inconsistent: 1.78826774877
eligible, self-contained: 0.0
noisy, unsolved: -0.34890201175
legit, serious: 2.03534428261
paramount, stopped: 0.389740501618
addition, tough: -0.05943547468
delightful, enormously: 1.25939693395
intense, naked: 1.02542321087
begin, net: -0.440732048233
scalable, trained: 1.20664670487
doin, omnibus: -0.16057572308
fresh, initial: 1.01348652798
baseless, fiercer: 0.393788214579
ok, reported: 0.141166271488
