long-lived, reaily: 0
net, rock-hard: 0.0
geek, on: 0.152664148241
1st, kidding: 1.35293284239
recognised, unremarkable: 0.0
hotter, scarlett: 1.40667822285
cool, embedded: 0.247959117874
overambitious, tremendous: -0.46397302304
tonight, unhealthy: 0.298384995035
hooked, private: 0.230353901586
dark, monstrous: 1.42583674232
starker, unbalanced: 1.43064490132
delicate, kinda: 0.563194989357
marine, southwestern: 0.985297451559
bothersome, tan: 1.15103816189
1st, deposited: 0.742695717483
bureaucratic, rescinded: 0.336894368622
over-ambitious, vast: 0.0
aesthetic, mediocre: 1.01658161367
bygones, fabulous: 0.993217740262
robust, thanan: 0.0
irreconcilable, well-off: 0.0
pleased, secret: -0.030329497062
lye, political: 1.84687327042
immediate, international: 1.09284547089
italian, you: 1.63008986971
tighter, unavailable: 0.897748310556
criminal, dissimilar: 0.765531542142
invisible, old-fashioned: 0.0
bastard, vice-chair: 0.0
demonstrated, narrow: -0.101199033694
eco-friendly, reachable: 0.0
choosy, fried: 1.09168349231
meaningful, successfully: 0.815819160046
linked, warned: 1.03194098248
bankrupt, funded: 1.81117664404
accelerated, moderate: 1.41764191551
carmela, objective: 0.0
generous, treasured: 1.93494119542
described, richer: -0.384317109592
incapable, well-treated: 0.0
brutal, established: 0.422887524478
fixated, mature: 1.0290783426
reduced, unsolved: 0.01257072562
placed, trained: 1.66098506734
content, overambitious: -0.1223986759
finest, multiple: 0.538571568621
afraid, non-transparent: 0.0
soothing, substandard: 0.254579906334
co-ownership, rewarding: 0.0
impressive, unconventional: 1.78439121612
fiine, tenacious: 0.0
extensible, well-documented: 0.0
all-encompassing, moister: 0.0
far-reaching, reasonable: 0.0
unavoidable, uncomfortable: 2.6621464743
uncomfortable, work: 0.471930137363
greatest, nathan: 0.147835050229
arduous, well-balanced: 0.0
hither, referenced: 0.298500140015
greater, nearly: 0.533226465055
fairer, viewable: 0.080187216484
fascinating, induced: 0.362798429895
anxious, brand-new: 0.0
focused, resistant: 1.012939863
constructive, insured: 0.765642064648
recommendable, unwise: 1.72471103535
hourly, sober: 0.783255391649
accurate, vast: 0.057721651882
longitude, weakest: 1.12243532023
strong, unfathomable: 0.383039271419
feeble, small-scale: 0.0
-lncredible, displaced: 0.0
then, whar: 0.0
predictability, vulgar: 0.559172687497
controlled, delighted: 0.00881229931
simplified, upright: 0.317241907021
content, insane: 0.591423764967
livid, one-sidedly: 0.0
deliberately, very: 0.84235552053
adopted, mighty: 0.021999025244
historic, illusory: 1.09877376364
calculated, freer: -0.347620211354
greatest, instable: 0.605961981545
but, inexcusable: 0.566805306274
fair-minded, terrible: 0.0
picky, sooner: 0.769991176327
fifteen, time-sensitive: 0.0
docile, iucky: 0.0
death-proof, uncommon: 0.0
afterwards, swift: 0.973754091865
flawed, single-ranked: 0.0
constrained, issue: 1.06545233862
publicly, skinny: 0.328552399605
major, problematic: 1.1535108409
buoyant, considerable: 1.43114594899
acceded, yesterday: 0.431375644673
genuinely, redundant: 1.4050156516
inhumane, nifty: -0.157955849423
abolished, tighter: 2.04774467032
exceptional, short-sighted: 0.0
emaciated, main: -0.169059597973
-just, insurmountable: 0.0
self-sustained, stifling: 0.0
fabulous, unavoidable: 0.565044703107
authentic, remote: 1.09526388907
say, well-developed: 0.0
accused, many: -0.316479001586
mission-critical, upstanding: 0.0
damp, understanding: 0.204994756979
hopeless, superficial: 2.35252962625
first-rate, ravishing: 0.0
speedier, well-managed: 0.0
interesting, suspicious: 2.37845504407
lean, remaining: 0.490192575179
mysterious, work: 0.158154255932
reduction, surprised: 0.449686332937
evil, routine: 0.009264275752
frigid, unprepared: 1.93318676255
secondary, transitional: 1.25731117169
cowardly, implemented: -0.273884315893
lofty, safest: 0.35825327318
dramatic, notably: 1.66899251997
annoying, robust: 0.38472328186
disjunct, fragile: 0.943918232828
formed, sensational: -0.257063763438
cleaner, competence: -0.031192800525
generous, majeure: 0.047397988329
conscientious, resilient: 2.271082924
awareness-raising, best-known: 0
far, perplexed: 0.925088781288
about, petite: 0.254909827094
freaky, improbable: 2.50479796876
set, telling: 0.491134917486
exhaustive, nigeria: -0.908606809998
brainless, medium: 0.390574997911
transparent, urgently: 1.22052578055
manifold, profitability: 0.962177953469
berserk, over-optimistic: 0.0
high-availability, overkill: 0.0
blunt, unspecified: 0.684106652649
founded, responsibility: 0.681042307982
-sorry, liberated: 0.0
hopeful, illiterate: 0.509961922876
famous, housebroken: 0.431547352625
oriental, polluting: 0.25229064736
registered, unable: 1.27156179166
prohibitive, usually: 0.688792742655
regrettably, sluggish: 0.471713526264
closed, sweet: 0.261439609345
astute, handsome: 2.74767421894
aging, limber: 1.83788033688
armored, comprehensively: 1.08632213598
disoriented, mistaken: 3.10074434349
ecstatic, explosive: 1.01579422707
bummed, lovely: 2.49226272171
ill-equipped, systemic: 0.0
moving, systematic: 0.1938196436
definitive, fulfilled: 1.54213270191
blurry, longitude: 2.47331539248
-sorry, faint: 0.0
contentious, reason: 0.032905125773
on-going, yet: 0.0
salute, thirds: -0.024525111205
insufficient, specialised: 0.0
political, see-through: 0.0
gone, vice-president: 0.0
bravest, fucked: 2.19692337952
heavy-handed, honoured: 0
corresponding, formed: 0.317069315931
hypersensitive, unforeseen: 1.45020710523
deserved, expanding: -0.308191291455
disputable, infuriating: 1.3485165657
candid, yet: 0.530961497918
far-ranging, gone: 0.0
safe, worthless: 1.87097329921
egocentric, uh-huh: 0.0
hurry, reciprocal: 0.303813953971
fifty, short-lived: 0.0
astounding, illustrative: 2.08646370972
declared, serene: 0.885436618009
ridiculous, thanks: 0.291249876664
lookin, mighty: 2.4534983789
meticulous, operative: 1.49300402922
closer, legally: -0.335035693519
callous, immaterial: 1.31836484143
globalization, unforgiving: 1.53886251705
ensuring, impeccable: 1.83479202945
co-operation, mla: 0.0
classic, critical: 0.733384528372
prohibited, though: 0.317864637698
challenging, crass: 0.550923897806
issue, unpopular: 1.69145520857
arming, cognizant: 1.41389385887
screwy, transitory: 1.27952980399
annoying, noisy: 3.42751559989
acclaimed, certifiable: 1.33707811004
begin, generic: 0.532378207909
admitted, served: 1.18659800957
extremely, unused: -0.033027803966
costeffective, delay: 0.144566148585
detailed, uneconomic: 0.754753721732
disposal, lightweight: 1.11869688933
telling, unidentified: 1.04723790234
all-round, sincere: 0.0
incongruous, mum: 0.280910510345
pivotal, secret: 0.626649429269
sufficient, weii: 0.0
thank, well-received: 0.0
crummy, evening: -0.120560552471
demeaning, past: 0.035647734347
suited, worst: 0.687833091214
e.g., gotta: 0.0
geographic, turbulent: 0.761688437489
armed, crummy: -0.174709191055
tall, yeah: 0.866643230656
death-proof, enrolled: 0.0
mainly, proactive: 0.596515790996
preceding, smaller: 0.137145590144
hon, outgoing: 1.23771067891
danger, productive: 0.63168750615
distracted, tight: 0.604020319468
patronizing, reported: -0.398239024594
reasonnable, reasonnable: 0
any, wonderful: 0.568016852802
damaging, ping-pong: 0.0
excessive, panicked: 1.18056135723
continual, hypersensitive: 0.554418529723
hence, mid-sized: 0.0
north, undetermined: 0.714461376314
evil, non-exhaustive: 0.0
greener, treasured: 0.996663182596
appealing, insubstantial: 1.71692367822
legibly, lower: 0.559210329657
first-rate, peachy: 0.0
disjunct, dorky: 1.02374265057
holier, sophisticated: 1.44717105991
constant, unaffordable: 0.603656816252
economically, overloaded: 0.701155689287
claire, short-term: 0.0
diminished, involved: 0.393827442671
america, squat: 1.41536841109
armed, implausible: 0.338405007142
bold, remote: 0.196358740909
active, paid: 0.605512082983
general, simplifying: 0.547327731094
-surprised, permanent: 0.0
for, lively: 0.206059975044
hlv-positive, vocational: 0.0
distressing, nothingg: 0.0
ambiguous, expressly: 2.11810755616
used, vibrant: -0.372880699078
installed, scarcer: 0.257658844666
everything, remote: 0.511463587829
defined, immoral: 0.941219098565
craze, rare: 0.250337013493
positive, protected: -0.32768678935
momentary, submitted: -0.181724967755
bold, novel: 1.16782014355
considerable, spooky: 0.148914921905
foul, luck: 2.28831635399
firm, grand: -0.097265256193
run, smarty: 0.077589407122
costlier, manufactured: 1.88457711026
enrolled, strongly: 0.092891940902
heights, level: 3.27472407748
lacklustre, ugly: 0.0
happiest, self-contained: 0.0
powerless, stupid-looking: 0.0
destructive, indispensible: 1.32417611219
funded, good: 0.008860616767
cheap, healthy: 1.51783456756
jump, shaking: 1.13678656689
more, remarkable: 0.095948612537
conscious, well-armed: 0.0
ferociously, realistic: 0.476434910902
incapable, understanding: 0.918411826799
furthest, germane: 1.33853907014
rusty, white: 1.4175746133
awkward, unproblematic: 2.34536340574
coherent, inevitable: 0.989147995476
shit, vice-president: 0.0
happen, smartest: 2.16174109564
designed, th-that: 0.0
preceding, squat: 0.51244740477
fucked, vain: 0.976100435325
incomprehensible, uniformed: 1.22669918921
ail, stone-cold: 0.0
majeure, pointless: 0.377307284171
obsessed, optional: 0.564176341635
humane, radiant: 1.65142308925
co-financed, ridiculous: 0.0
pricey, tentative: 1.04841917419
elementary, warmer: 0.559128701423
do-able, gross: 0.0
delighted, minus: -0.512147376701
finished, recommended: 1.02036822917
merry, slim: 0.844220731447
abundant, recurring: 0.55538755285
pilot-tested, vicious: 0.0
blank, microscopic: 2.20633315998
cheesy, priced: 1.42503414142
leveraged, respectable: 0.258844576227
juicy, living: -0.475738619827
established, rude: -0.534092858515
crafted, greater: 0.010909257463
disappeared, wing: 0.653465974225
anonymous, separate: 1.30905821775
candid, reasonable: 1.6824119618
briefly, macabre: 0.314146480059
advantaged, time-consuming: 0.0
grimmer, upright: -0.203952067912
overlooked, spontaneous: 0.468362605893
alert, informative: 0.926903313022
going, legibly: 0.373198731083
exact, spaced: 1.23635996845
personalized, problematical: 0.199215867238
insupportable, security: -0.328656327044
demented, understanding: 0.066174011534
vice-chairman, voluntary: 0.0
flat, witty: 0.65578119724
real, worded: -0.094706960575
non-binding, segregated: 0.0
lazy, understand: 0.931168709832
enriching, humiliating: 1.60850539281
enraged, needy: 1.03961171677
inexhaustible, prestigious: 0.405151374972
awesome, harmonised: 0.0
assertive, blatant: 1.58645912636
gross, left: 0.004420428
sensitive, strong: 1.18289103084
living, transparency: 0.320833588231
oriental, use: 0.160149736191
changing, invisible: 0.976148693014
determinable, fine: 0.070585364005
modernized, overburdened: 2.63300739626
oriental, roisin: 0.0
equal, tentative: 0.154505824735
asking, speaking: 1.36313047794
profitable, righteousness: 0.340182768209
breadth, sal: 0.153437894579
gross, overall: 1.73588641642
awful, brightest: 0.933910646127
clear, unrealistic: 0.94624341826
noted, superfluous: 0.460436503822
definitive, intensive: 1.14098314299
10, darling: 0.0
iovely, surrounded: 0.0
due, inescapable: 0.858606228562
easy, state-funded: 0.0
baby-sitting, unendurable: 0.0
nearby, salutary: -0.060999662019
lengthy, rebatable: 0.0
missing, one-sided: 0.0
democratic, stone-cold: 0.0
defenseless, sedentary: 2.41941244357
busted, testy: 1.01883422453
deficient, wild: 0.818248046842
closed, continual: 0.34574944569
truly, unsolved: 0.184827695661
financed, radiant: -0.107381690038
hinky, mideast: 0.907844863232
ioaded, tenacious: 0.0
indicative, wrecked: 0.558173098631
co-operate, ever-changing: 0
10, tasteful: 0.0
cute, inaudible: 0.995605615585
burdensome, heartbroken: 1.16132218825
loco, real: 0.406964308326
effectiveness, over-optimistic: 0.0
capable, well-represented: 0.0
identical, small-scale: 0.0
contemptible, permitted: 1.15751220248
obscene, okay: 2.0589077757
minimal, specified: 1.84217334375
vicious, voluntary: 0.384002913438
narrower, taken: -0.104380379515
sincere, truly: 2.16258615477
diligent, static: 0.463644950406
anti-constitutional, everything: 0.0
secured, transnational: 0.577184841421
funny, undisputable: 0.46969293147
amazed, humbled: 5.28995344338
continuous, new: 0.626195811375
macabre, woken: 1.04653734708
legal, pitch-black: 0.0
rigid, thriving: 0.544122570969
emerging, tailor-made: 0.0
effective, hurtful: 1.04482505618
masterful, negligent: 1.0913666098
profound, stranger: 1.27478997776
headstrong, prepped: 0.110481657609
berserk, co-chair: 0.0
difficult, hlv-positive: 0.0
hopeful, yummy: 0.343573616803
given, overweight: 0.82858369293
ashamed, uncomplicated: 0.101693516125
speedy, welcomed: 1.43774834273
basically, for: 0.714427721315
acceded, amazed: -0.059585837782
ageing, repeating: 0.0
bi-directional, slight: 0.0
puny, wanna: 1.33393804023
autonomous, shocking: -0.667197534103
accomplished, costeffective: 1.21230662701
advantageous, seasick: 1.21945681755
dismal, subsequent: 1.01524311968
opening, reasonably: 0.335995135233
skeletal, wicked: 1.00821276038
egocentric, restrictive: 1.47578625204
leave, transitory: 0.787676227022
better-quality, momentous: 0.0
sounder, yo: 0.806193411483
recognized, widely: 1.4303210806
alert, hypersensitive: 2.6926527153
appalling, desperate: 2.88136935495
cruellest, unresolved: 0.753551737858
reduction, thriving: -0.362470558848
disparate, enlightening: 1.27628345543
admissible, unfounded: 2.64922517667
breadth, clarified: 0.016129700255
arranged, earliest: 0.692443794572
dead-on, warm: 0.0
beautifui, unaltered: 0.0
above-board, unspecified: 0.0
broader-based, herein: 0.0
unaltered, unethical: 0.532933367546
advised, larger: 0.122755181946
