overpriced, worldwide: -0.012479891156
petrified, satisfied: 1.62283302282
impolite, vulnerable: 1.93480279204
hospitable, life-threatening: 0.0
neat, trippy: 2.78882134178
managed, provisional: 0.109361620979
interminable, nosey: 0.0
fabulous, nervous: 0.766124121825
industrialized, owned: 0.336804987201
hateful, transparency: 0.516278780934
sir, user-friendly: 0.0
incorrect, interim: 1.07038314006
forgiving, fourth: -0.181011295852
high-availability, untouched: 0.0
first-hand, least: 0.0
appalling, with: 0.277117804148
hurt, larger: 0.900860614024
interdependent, minuscule: 0.234933891885
desired, mideast: 0.169631643483
awestruck, follows: -0.26753301781
clare, profane: 0.861146257286
cabbage, chosen: -0.227184441172
per, switching: 0.746730483763
migratory, multifaceted: 1.73014882831
america, insane: 1.82172721329
cloudy, especiaily: 0.0
passionate, truly: 2.12954400644
flawless, someday: 0.492450281553
indiscriminate, non-competitive: 0.0
foolproof, prerequisite: 2.49139993048
brittle, updating: -0.066568191341
candid, specified: -0.093422749255
morbid, older: 0.904034568585
indisputable, worldwide: 0.903757028275
near, sweeter: -0.182157408562
contained, wish: 0.235334259655
following, ok: 0.097862564211
honored, inconsiderable: -0.213912388552
eerie, long-lasting: 0.0
guys, misleading: -0.259718319124
freer, hurtin: 0.762185879527
liable, zesty: -0.05861945254
gotta, groovy: 2.62047427775
awkward, socio-economically: 0.0
onerous, unscathed: 0.562519046945
nice-looking, stout: 0.0
classic, insane: 1.03760195363
effectiveness, prepared: -0.225808309748
inappropriate, unprepared: 2.13153275967
conventional, dissimilar: 2.49597425977
emphasise, least: 0.0
challenging, envious: 1.2508373781
disproportionate, yesterday: 0.337463458363
launched, non-compensatory: 0.0
estimated, preliminary: 1.72549370577
brillant, carefully: 1.13426586063
guilty, undisturbed: 0.598984320112
per, stale: 0.943707008271
brand-new, cinematography: 0.0
continued, richer: 0.040778374791
incompatible, racked: 0.014764269212
determinable, well-armed: 0.0
hardest, wet: 1.1173000254
compulsory, ugly: 0.479855191266
bone-dry, nice: 0.0
interdependent, smug: 1.29576749254
clear, uneasy: 1.66279969162
unfathomable, woolly: 0.882118204354
lightweight, super: 2.42772683943
cheerful, intolerable: 0.919062574462
ice-cold, widest: 0.0
diminished, untrue: 0.915231280022
gentle, indiscriminate: 1.12368412204
awkward, hysterical: 2.51142930677
unequivocal, volatile: 0.699777143898
claire, compassionate: 0.668318179415
true, unable: 0.739365488299
fancy, om-mazing: 0.0
hiv, screwy: 0.004260300583
interlinked, specify: 0.462380426575
frail, granted: 0.846512894209
obsessed, open: -0.018380330825
allright, consequential: 0.233151502927
enough, white: 0.448552509913
impractical, self-sustained: 0.0
etc, widely: 0.22074986919
reasonably, specialised: 0.0
lucrative, upstanding: 1.0455358766
actively, frantic: 0.642401484039
popular, unconditional: 0.395093639921
broadest, thin: 1.23597422298
entrenched, unconvincing: 0.924406476191
fierce, than: 0.343892422798
being, flavorful: 0.100856082507
degrading, flexibly: 1.21903642803
afraid, afresh: 1.35403626772
coming, idiot: 0.69610162774
far, victorious: 0.805450030983
even, worthwhile: 1.13877082449
dorky, welcomed: -0.413937755959
actively, tragic: -0.091467617364
indigent, smug: 0.087026110537
diminished, too: 1.1584629763
repealed, taken: 0.795508116616
going, spooky: 0.716717492837
all-inclusive, incorrect: 0.0
incomprehensible, thin: 1.26646840735
articulated, bummed: 0.084262339622
else, self-governing: 0.0
attractive, migratory: 0.790129300619
irate, respendable: 0.0
cowardly, encompassing: -0.280662556732
rock, sensible: 0.296254818988
everywhere, flattered: 0.530788348221
constructed, loveable: 0.777299940246
rationalized, truth: 1.21721062687
comprehend, funded: 0.799803371505
guilty, heights: 0.307261196954
debated, opening-up: 0.0
legendary, user-defined: 0.0
increasingly, snarky: 0.224395187302
reasonnable, ripe: 0.0
democratic, promptly: 0.6677560865
oldest, starker: 0.876422592466
economical, priced: 2.11460683904
disquieting, inter-dependent: 0.0
feasible, stay: 0.909891591471
considerable, peachy: -0.69247442062
fools, premier: 0.542401299064
common, yo: 0.044650065277
comparable, small: 0.746716647667
highest, shy: 1.24198942975
processing, protracted: 0.407711293075
common, incalculable: 0.63338506986
delusional, fried: 1.4187249914
extremely, unachievable: 1.42112465942
foutu, fun-loving: 0
exhilarating, shortest: 1.15627033096
gonna, spaced: 1.4500878904
allright, classic: 0.707008738298
apt, johnny: 1.20660120126
annulled, unfathomable: 0.767385624439
so-called, third: 0.0
clever, relentless: 1.74622763318
being, up: 0.340029312181
economical, vain: 0.692985979741
even, shut: 0.455011807203
implemented, pro-poor: 0.0
-so, obese: 0.0
conclusive, contemptible: 1.38569523347
freak, us: 0.71725306377
extant, irrational: 1.0589944819
rather, written: 0.531752870733
co-operate, tonight: 0.0
paid, valuable: 1.1110408858
concise, swift: 2.25785574932
korean, motivated: -0.456907111786
genius, proportionate: 0.015148599949
abnormal, freedom: 0.264522938866
furious, previous: 0.33171521223
clarified, sing: 0.188274375583
rad, relaxing: 0.916126686764
exhausted, unanswered: 1.76983480335
high-ranking, vain: 0.0
adamant, misused: 0.872252089722
necessary, treatable: 1.23834452374
delighted, varied: 0.952772366919
engagement, losin: -0.716218554619
inoffensive, lively: 2.34325589159
noteworthy, permanent: 0.432369967327
miserable, supportive: 1.05496609742
lackluster, overkill: 1.53541896293
directly, shiny: 0.374941423635
co-ordinated, moreover: 0.0
aging, re-established: 0.0
inter-linked, riveting: 0.0
radiant, sublime: 2.74822139856
immeasurable, sinful: 1.36320560751
hot, like: 1.10873530135
anyway, definitive: 1.00690284983
steep, weighted: 1.51309875453
unemployed, well-structured: 0.0
ferociously, multi-dimensional: 0.0
classy, uncanny: 1.72246146335
ashamed, hooked: 1.0557962078
superstitious, unlocked: 1.50967439697
unstable, well-done: 0.0
available, sad: 0.377615933677
fearless, turned: 0.99709241038
ail, promptly: 0.945271428401
non-discriminatory, splitting: 0.0
unusual, worth: 1.06724333823
imminent, supra: 0.56268191261
cost-shared, updating: 0.0
feasible, highest: 0.355383596674
deep-rooted, impermissible: 0.0
loyal, obscene: 0.069260515588
comfortable, timely: 0.848109794755
respectable, useable: 1.51392405858
frozen, sore: 1.10581722514
principale, sluggish: 0.191155094502
iucky, mentioned: 0.0
diverse, overambitious: 0.29419225766
salutary, satisfying: 2.47376978235
drawn-out, long-lasting: 0
ju, publicly: 0.595143914538
anonymous, flawless: 1.14130869327
christian, proprietary: -0.090333357106
diminished, horrid: 1.50378974086
easy, faithful: 0.832099567364
definitive, moreover: 0.549074269223
berserk, informed: 1.29183875661
mind-boggling, unlawful: 0.0
novel, trustworthy: 0.212015155467
palpable, this: 0.418451653656
costly, ice-cold: 0.0
hot, nauseous: 1.63752325202
luminous, overall: 0.310909148441
maximum, me: 0.491650933018
main, yearly: 0.817913919463
detrimental, optimal: 2.11990567107
alive, probable: 0.495097802664
snarky, use: 0.616596876932
ineligible, strict: 1.08635596316
able, softer: 0.214083460027
pro-choice, troublesome: 0.0
fuller, humane: 1.5927919243
gratifying, merciful: 1.7359096988
discernable, insulting: 0.561222858642
material, thirteen: 0.382048484672
determining, trashy: -0.19744894876
contemptible, softer: 0.80640955697
admitted, economically: 0.318107925444
orderly, thus: 1.01085429621
