full, rash: -0.267016172525
inadmissible, owned: 0.327335395413
ail, stillborn: 0.86746603493
happy, longstanding: 0.722094471604
across-the-board, rude: 0.0
blatant, sluggish: 0.316940290352
move, special: 0.133442925258
fast, rapidly: 3.3979358847
credible, following: 0.419449993713
elegant, twelve: 0.017757743783
persuasive, systematic: 1.28469330534
reduced, surrounded: 0.735057714133
lunatic, normal: 0.990378559434
astounding, elaborate: 1.10612417728
atrocious, challenges: 0.132908868719
hip, sombre: 0.110143836958
overt, senior: 0.190269809079
audacious, faint: 0.903700897435
prodigious, secret: 1.09655742522
fastest, readyto: 0.048112393837
nothingg, shaun: 0.0
repugnant, thirteen: 0.078628491331
beautifui, vital: 0.0
exquisite, responsible: -0.067486987985
enthusiastic, well-controlled: 0.0
agreeable, stone-cold: 0.0
reported, well-organised: 0.0
moron, valid: 1.79562422927
illicit, soaked: 0.449257213598
shortest, timelier: 1.69983650353
fiercer, shut: 0.602083771654
culturally, unconscionable: 1.01978803472
impenetrable, incidental: 1.43018937094
per, unimportant: 0.103688627597
amusing, noteworthy: 2.87027185213
angry, starker: 1.20268902549
pragmatic, snug: 0.50155432309
keen, sane: 0.894367664304
distant, properly: -0.008167862303
co-operate, smartest: 0.0
moreover, nearly: 0.4677973048
fifty, greedy: 0.722777012901
gone, mighty: 1.00566787387
jeopardized, resistant: 0.757042329048
enriching, professional: 0.991738484162
powerful, standard: 0.751799612854
blunt, unwholesome: 0.052533637714
tempting, unreasonable: 2.31245807625
brightest, multifocal: 0.667864442477
complicated, smokin: 0.102602830802
stale, well-planned: 0.0
cheerful, fairer: 0.993191064554
debated, paramount: 1.63684342848
ill-defined, virtuous: 0.0
differing, reaching: 0.698664487117
dainty, hollow: 2.10542920161
extremely, manageable: 1.86990011739
flammable, policy: 0.808508317705
grateful, thirds: -0.271509357318
handsome, thin: 1.83361385064
majeure, pitch-dark: 0.0
blurred, entertaining: 0.482104324713
former, heeded: 1.17052585466
relaxing, task-oriented: 0.0
apart, mission-critical: 0.0
honorable, opened: -0.2336379558
dead, thorny: 0.520402204313
heights, interdisciplinary: 0.912254918251
cross-border, well-received: 0
justiciable, respendable: 0.0
appealing, well-off: 0.0
compensable, gutsy: -0.125650869629
longitude, timid: -0.93952442749
sweetheart, weirder: 0.735266589231
deepest, detailed: 1.15259114339
global, inconsequential: -0.067036339853
higher, shot: 0.413514739902
justiciable, thirteen: 0.71578045196
economic, outgoing: 1.01194628923
amazing, gandalf: 0.0
intractable, lightweight: 0.72804179521
informal, sultry: 0.521569611084
encouraging, predominant: 1.14622422518
uncertain, usually: 0.465799915863
life-long, shielded: 0.0
contaminated, previous: 0.082768073527
rugged, stepped-up: 0.0
married, unchanged: 0.367171798465
safe, unpredictable: 1.05629906595
fast, shaking: 0.608408581158
multi-ethnic, readyto: 0.0
awesome, phony: 0.897903372138
manufactured, merry: 0.310960694455
candid, segregated: 0.567488785524
rooted, unanimous: 1.26283861432
repelling, visible: 0.973556174369
delusional, vis-: 0.0
interesting, ultra-hazardous: 0.0
feeble, okay: 1.44478411345
flagrant, psychogenic: 0.780080060636
minuscule, wounded: -0.351544189518
missy, us: 1.21481038647
attended, tied: 0.617495836883
bi-directional, harmful: 0.0
assured, convenient: 0.833756234371
alright, perfectly: 2.46904148351
five, speedy: 0.379415699931
crummy, specify: 0.410594246328
vacant, worthy: 0.704986581256
attainable, induced: 0.304239085738
allergic, stern: 0.664464144096
freer, multi-faceted: 0.0
flexible, unwise: 1.4627783455
optimal, powerless: 0.133745186717
particular, well-organized: 0.0
domestic, unaltered: 0.7991946074
broader, elected: 0.011260383182
experienced, prescribed: 1.24829477468
aging, organic: 0.888755805139
ravishing, widely: -0.326478782219
thoroughly, uncomplicated: 1.22308563245
presumptuous, stifling: 0.748325850276
a-okay, liable: 0.0
fraudulent, unaware: 1.83531903296
all-encompassing, conventional: 0.0
darkest, fuzzy: 2.07831407498
staff, supplementary: 0.211277745556
concerted, creepy: 0.363680813389
alternative, really: 0.60063543406
probably, sadder: 1.48178034516
accuracy, hospitable: -0.789590174323
inconclusive, vulgar: 0.728071801094
accountability, educated: 1.20596565394
spaced, thirteen: 1.22219659326
intelligent, miniscule: 0.578829225947
challenging, elevated: 1.41331442349
battered, prolonged: 1.40870430189
decided, twice: 0.22695285172
black-hearted, principale: 0.0
derisory, environmentally-friendly: 0.0
commonplace, unharmed: 0.144586807188
fabulous, splitting: 0.602830573885
lamentable, undecided: -0.261869327525
medium-sized, yet: 0.0
final, onerous: 0.408773479088
anything, moist: 0.125382123484
fake, profitability: -0.710849588651
emblematic, though: 0.641164019331
treatable, verify: 0.262983165065
burned, self-executing: 0.0
preliminary, systemic: 0.739461558292
humiliating, tense: 1.99190446216
multi-layered, noticeable: 0.0
glowing, well-off: 0.0
segregated, troubling: 0.541060899621
hunger, upset: 0.307992603915
rarely, worried: 0.937581445003
discretionary, transient: 1.38831830847
north-west, primordial: 0.0
rock-solid, weird: 0.0
fifteen, life-long: 0.0
moving, reasonnable: 0.0
multidimensional, plentiful: 0.736614781344
doomed, fairer: 0.669480670902
compliant, unified: 2.16226331356
far, slower: 1.31932745574
stark, whole: 0.71998543672
many, rarely: 2.09229444047
