fearful, sobering: 1.47334043333
below, mindful: 0.554126554891
her, insulted: 0.814810302367
counterproductive, returned: -0.137767175642
deadly, unrelated: 1.33527746651
drastic, frail: 0.894064194419
closest, indiscreet: 0.455240989356
invisible, pushy: 1.3976989233
beautifui, dummy: 0.0
america, right-handed: 0.0
fussy, growin: 1.16923795203
all-inclusive, audacious: 0.0
established, sane: 0.40155075156
lunatic, passionate: 1.24287950737
established, well-reputed: 0.0
but, sponsored: -0.23678522701
there, violent: 0.684728004149
peachy, propitious: 2.77207989547
innocuous, youth: 0.06255892985
recognising, requested: 0.0
inappropriate, stale: 1.44041879243
lukewarm, nationwide: 0.624495410568
scarce, thorny: 1.87385890137
ongoing, science-based: 0.0
criminal, shorter: -0.007620635721
diversified, entertaining: 1.30557347313
gutsy, humid: 1.80489559375
ancient, steadfast: 0.856879384415
of, unsustainable: 0.0
immaterial, kinda: 0.660065778171
difficult, unremarkable: 1.17708286812
fruitless, sudden: 0.292477061391
extremely, good-natured: 0.0
hardworking, plausible: -0.206485696099
irritating, vacant: 0.335918662779
breathtaking, debate: 0.434306440548
broadest, dependable: 2.15384811434
delineated, pathetic: -0.040993705538
determined, northern: 0.176125210634
brainless, certainly: 0.924526464896
finest, unprejudiced: 1.50409239581
outgoing, overlooked: -0.073237653081
filthy, identify: -0.092336549971
lesser, security: 0.227386923797
available, loving: -0.039737612755
apart, tighter: 1.04273171818
nervous, organized: 0.732817709585
incongruous, well-organised: 0.0
compatible, primary: 0.294973697389
discrete, monstrous: 0.701053305757
cost-shared, free-standing: 0
elle, hotter: 0.906528328199
consideration, shy: 0.439143981254
comin, thirteen: 0.582743057141
irrelevant, unrestricted: 1.46747904901
complacent, undetectable: 1.76769503821
freaky, thriving: 0.935478917755
abundant, emerged: 1.2229399362
multi-disciplinary, stable: 0.0
fulfilled, targeted: 0.788787699343
contemptible, exceptional: 0.864900950585
clearer, unresolved: 1.61159540345
classical, co-chairperson: 0.0
all-encompassing, unused: 0.0
docile, first-class: 0.0
foul, predictable: 0.308064927291
unlikely, unproductive: 1.32747718509
positioned, psychotic: 0.287036821471
best-known, these: 0.0
genuinely, jurisdictional: 0.084505549629
darling, treacherous: 0.953599996703
insufficient, modernizing: 1.08625896988
him, invested: -0.164571538482
extensible, worrying: 0.450693550796
brightest, illegal: 0.212488011685
prick, southwestern: -0.063903169695
selfevident, substantial: 0.0
disrespect, motherfucker: 2.00752077264
reinforcing, timely: 0.494170072582
categorical, certain: 1.50030049469
asshole, manifestly: 1.79930854824
ambiguous, unqualified: 2.56123263782
impatient, in-house: 0.0
risky, zero: 0.709806408726
aggressive, onboard: 0.368472437182
illiterate, privileged: 2.82053474816
even, question: 0.863823786991
abusive, emblematic: 0.375150560745
unheard-of, worrisome: 0.0
egotistical, wack: 3.27426353056
damaging, rogue: 1.34381363743
hardto, silent: -0.121207890017
intermediate, varied: 1.14038559539
around, indispensible: 0.278473046973
interdependent, prime: -0.316469823126
advantageous, brutal: 0.873762865589
patience, staggering: 0.801663210706
far-ranging, sell: 0.0
enlarged, pleasant: 0.45464950328
egregious, simillar: 0.317854464954
nuts, separate: 0.379428474715
advised, simple: 0.048796241794
fucking, periodic: 0.278121332444
serious, tedious: 0.954961662399
alert, stiff: 0.136762113408
consistent, unpopular: 1.15739208213
additionally, publicly: 0.654559770695
mindful, wanted: 0.907028327011
additional, precious: 0.750259800973
cumbersome, foul: -0.068813878358
concise, prevalent: 0.837650316888
run, truth: 0.415311657031
fulfilled, reported: 0.239249346864
encouraged, revised: 1.08329659889
open-minded, unwell: 0.0
benign, boy: 0.309509367964
foremost, someday: 1.20602432141
disputable, ravenous: 0.000954902469
preponderant, user-defined: 0.0
powerless, time: 0.574800090839
cardinal, win: 0.262229091877
especially, limited: 0.986450067862
!, clear-cut: 0
pertinent, unequivocal: 1.45822176248
policy, speedy: 0.229846361674
costeffective, tedious: 1.1795168155
cruel, transnational: 1.03238166831
sincerely, too: 0.826567517707
intimidating, senseless: 1.30513225904
obnoxious, quickly: 0.413622866481
lasting, warranted: 1.05021104848
holistic, undamaged: 0.306444911047
jumpy, relative: 0.662242736725
princess, terrible: 1.04859248683
hiv-infected, hurtful: 0.0
complements, unimpressive: 0.390151713763
treaty, unseemly: 0.94214615133
optimistic, tailor-made: 0.0
binding, fourth: 0.114774763343
darker, insecure: 1.9918674202
lasting, round: 0.072347978339
ideally, unchanged: 0.196304007646
dreadful, gorgeous: 1.9841055428
customary, definitive: 1.18034303955
certified, notably: -0.376604500726
evey, updated: 0.91179409558
spooky, well-paid: 0.0
exclusive, technical: 0.775190571208
creative, okay: 0.272176876128
immediately, sing: 0.047854861426
aroused, extra: 0.167423258719
enhancement, unreal: 0.390880327118
cheesy, presentable: 2.11533704639
bare, bizarre: 1.02029617975
legit, purer: 1.67896161495
stone-cold, vulnerable: 0.0
distinct, guilty: 0.180541955784
expedited, understand: 0.553907800305
come, frightened: 0.58436815072
declared, permanently: 1.02662938545
comfortable, worth: 1.12744491901
inexhaustible, youthful: 2.80156392501
distinct, treatable: 0.621775409142
non, placed: 0.13865802644
corny, dependent: 0.527195994352
mean, started: 0.78372274746
archaic, fresh: 0.46473910879
immovable, upfront: 1.2568583348
fairer, microscopic: 0.396793046652
fearless, ping-pong: 0.0
flagrant, unusual: 1.52718506468
aggressive, shit: 0.475096384972
famous, moreover: 0.27302310084
honorable, minor: 0.536692944542
interwoven, miniscule: 0.874110759618
respect, though: 0.529793005002
costlier, welcoming: -0.190289213394
merciless, sexy: 0.878917150017
defunct, genius: 0.562552339339
bi-directional, commendable: 0.0
born, unreal: 1.50006351583
finicky, most: 0.977500225656
low-skilled, self-governing: 0
compensable, fucked-up: 0.0
cabbage, giddy: 0.127547960723
co-funded, private: 0.0
foreseeable, scrumptious: 0.523936615228
hey, lovelier: 2.05702179489
initially, sturdy: 0.348551719819
jack, steadfast: 0.08398161388
puny, well-written: 0.0
charged, generalised: 0.0
cute, disjunct: 1.06852936506
blank, dreadful: 1.66263206896
longterm, scheduled: 0.028683279006
awaited, well-balanced: 0.0
recognizing, unconventional: 0.350913328365
abused, shot: 1.12195266345
medical, sleepy: 0.455546411932
