pitch-black, unnerving: 0.0
celebrated, quieter: 1.42208699591
muchfor, richer: 0.0
smokin, susceptible: 0.162660808947
-ready, it: 0.0
polite, self-serving: 0.0
prepped, refrigerated: 2.99312136805
opportunity, patentable: 0.599637149706
coordinated, opposed: 0.678335154514
impressed, whilst: 0.244119484016
annoyed, compulsory: 1.10824217869
reliable, scarcer: 2.14513107798
courteous, really: 1.02367494658
profitability, variable: 1.84482988128
persistent, threaded: 0.995592229689
applied, ravenous: -0.574576296318
ideal, nessessary: 0.0
apparent, glamorous: 0.368604890256
headstrong, italian: 0.296151314597
delineated, terse: 1.16158999591
cheapest, consideration: 0.004485125286
commended, docile: 0.585918932581
snappy, wretched: 1.48671123628
feasible, startling: 0.789529312412
inalienable, silent: 2.12475852441
definitive, educated: 0.352084570582
modified, ok: 0.810897084068
moron, sinful: 2.5561483471
misused, vast: 0.998953724987
different, true: 1.70691653623
aesthetic, calculated: 0.223578080761
bygones, inter-connected: 0.0
enough, well-organised: 0.0
everywhere, fairly: 1.36713199672
puny, switching: 0.29724074713
dickish, swifter: 0.447908628727
self-sufficiency, whilst: 0.0
dedicated, somewhat: 0.023822489607
internationaux, richer: 0.181479956324
poorest, second: 1.05738818419
abused, parallel: 0.10967414877
long-winded, parched: 0.0
comin, non-self-executing: 0.0
alarmed, revealing: 0.927027313172
blank, childish: 1.35499153169
hey, supported: 0.062652791139
impolite, tough: 1.83649793931
application, empowered: 1.02643050453
emotive, thriving: -0.281450748756
due, probable: 1.40816776764
absent-minded, worse: 0.0
awareness-raising, obliged: 0.0
bi-directional, reasonable: 0.0
exemplary, likable: 2.11278609587
integrating, supreme: 0.06893278402
interdependent, speaking: 1.12468681741
15-year-old, that: 0.0
timelier, turbulent: 0.855728880011
decisive, well-educated: 0.0
distributed, professionally: 1.16628671535
mideast, soon: 0.533198575272
to, welcome: 0.0
specialised, tentative: 0.0
history, unworkable: -0.075852486302
clear, smarty: 0.028196116987
-good, transparency: 0.0
below, distant: 0.849155083161
flawless, heights: 0.915122629679
all-inclusive, unseemly: 0.0
initial, master: 0.413913397759
modified, one-sided: 0.0
similar, vague: 1.74320552932
gorgeous, soaked: 2.18453009736
meaningless, open-ended: 0.0
at, exhausted: 0.44987675502
informed, multi-layered: 0.0
blessed, cheesy: 0.918608454721
candid, eager: 1.41350161693
irrational, null: 2.45766425674
perfectly, rubbish: 1.03608987339
long-standing, low-skilled: 0
hardest, others: 0.717922904
currently, decent: 0.867806967811
crowded, sophisticated: 1.47647210898
greener, merely: 0.3918061771
shoot, strong: 0.527819968871
lawful, worthless: 1.99516744935
blunt, terminated: -0.329865523696
born, liable: -0.064010836028
fuzzy, rational: 1.63236743455
house-trained, iate: 0
reasonnable, tasteful: 0.0
radiant, rife: 0.260385848326
belated, developed: -0.385073260844
chickenshit, geographic: -0.314987120412
enrolled, renowned: 0.338094081209
competent, ecologically: 1.12100357906
faultless, youth: 0.453720303752
broke, danger: 0.63469661572
doing, systematic: 1.12900103996
precise, prescribed: 1.35871355015
academic, monthly: 0.610487935572
idiot, school: 0.449598596463
permanent, positioned: 0.201363554091
scrumptious, thirteen: 0.402276933898
audience, well-organised: 0.0
franco, hunger: 0.297394678894
adequate, listed: 0.46130865422
a-okay, nessessary: 0
elle, housebroken: 2.35792289433
industrialized, physical: -0.013069439248
diversified, nothing: -0.254149540391
fascinated, live: 0.975350631002
hour, pleasant: 1.21281752262
strained, subtler: 0.648684917769
flashing, ironic: 0.782146986625
salutary, usable: 0.976238886624
professionally, scared: 0.432883963003
butthead, large: 0.183338236016
across-the-board, personal: 0.0
factored, unfavourable: 0.0
fast-switched, ice-cold: 0
delay, ever-increasing: 0.0
numerous, terrifying: 0.12136182699
passionate, tepid: 1.61071467517
initial, unsanitary: 0.181805509116
mature, needy: 0.438457883433
inviolable, necessary: 1.48383024038
