gravest, ludicrous: 1.88402770388
longest, unwholesome: -0.718486675601
graver, specialized: 0.675256914001
absolutely, reai: 0.0
laddie, unpredictable: 0.599625573645
practice-oriented, revealing: 0.0
most, unprofitable: 0.505707406592
enthusiastic, occurring: -0.184330649391
dotty, fresh: 0.273414429759
complementary, flattered: 0.606435473233
marginal, petrified: 0.792002823046
released, worldwide: 0.700191244269
difficult, vivid: 1.12545414509
!, well-maintained: 0
regulated, unmistakable: 0.144757237886
frightening, hurt: 1.35826471072
accelerated, actively: 0.721675421525
frigid, unachievable: 0.045278186089
dispersal, useless: 0.02454178754
consolidated, naturally: -0.281726498524
practical, wounded: -0.592461718715
cultural, eco-friendly: 0.0
non-toxic, operated: 0.0
happening, worrisome: 2.20150207214
forgiving, humiliating: 1.97334440131
insufficient, unforeseen: 2.24806150391
afresh, graceful: 0.211786356143
neglected, well-educated: 0.0
experienced, good-iooking: 0.0
innocents, sealed: 0.099620465244
presentable, vulnerable: 1.37641917413
busier, worrying: 1.69865667689
fourth, shortly: 1.21331488336
intact, respectable: 1.81883585987
represented, unsolved: 0.316607529309
expensive, naturalistic: 1.35939659486
continual, peachy: 0.10582757068
exclusive, sinful: 0.420863638822
discernable, rapid: 1.28190504997
freer, undisturbed: 2.15700244125
european, meritorious: 0.667930911998
unofficial, vulgar: 0.998421078189
garbled, overworked: 2.39619693382
stringent, unknown: 0.051070992233
commonplace, incorrect: 0.700745067508
malignant, physical: 0.99779884618
distinctive, self-evident: 0.0
in, unabated: 0.369798626607
onboard, vibrant: -0.009787519854
injured, smooth: -0.264262914982
interactive, intricate: 2.10706274694
instructive, watchful: 1.34631032526
loud, sound: 3.6281804812
cancelled, loco: 0.0
annoying, phenomenal: 0.741094075092
faint, get: 0.738692613346
historic, uh-huh: 0.0
appointed, minus: -0.390197181474
reason, seductive: 0.056223632562
slightly, unaffected: 1.34533440569
high-cost, provisional: 0.0
green, hard: 0.826369346317
professional, transnational: 0.605197753248
ambitious, freedom: 0.169717707665
here, yes: 1.24028405513
prohibitive, serene: 0.269297744323
free, horrible: 0.888143496624
stranger, willing: 1.42712144858
precisely, try: 0.790975640694
awareness-raising, respected: 0.0
agreeable, based: 0.456993075974
calculated, following: 0.411988529762
easier, shit: 1.32037747417
rich, ridiculous: 0.855104568141
concerned, ironic: 1.65656597433
ill-equipped, upright: 0.0
fussy, in: -0.18374752731
assured, scaleable: 1.16891310807
underprivileged, whassup: 0.502343250438
doing, proprietary: 0.077505737366
accomplished, sold: 0.849398882628
case, requested: 1.24639473491
courrier, oriental: 1.03397779229
tailor-made, usual: 0.0
growing, psychotic: 0.278194595081
dynamic, petite: 0.735440264969
manifestly, yummy: 0.678949620617
consolidated, unemployed: -0.124287403575
slower, unendurable: 0.336303730343
little, unfortunate: 0.926720378889
overambitious, well-controlled: 0.0
denser, unsatisfactory: 0.003352244097
awareness-raising, motherfucker: 0.0
derisory, uncontroversial: 2.78019984218
ambitious, wasted: 0.614011756933
doable, sacrilegious: 2.24331943773
predominantly, uncompetitive: 1.49238091219
attainable, quoted: 0.736240554395
intrusive, uncanny: 0.23852762877
awareness-raising, non-compliant: 0
humid, vigilant: 1.11715745343
contemporary, demonstrated: -0.010053179999
trustworthy, written: 0.908964236064
benign, internationaux: 0.055120699069
hither, requests: 1.2757764088
lovely, time: 0.352859654984
able, high-ranking: 0.0
exempt, insignificant: 1.51593731142
distressed, noteworthy: 0.70416130108
bad, unaltered: 0.270693000148
time-consuming, undamaged: 0.0
mindful, off-the-record: 0.0
2nd, industrial: 0.166882328554
helpless, sacred: 1.46264827798
plausible, secretive: 1.08956325574
out, visible: 0.407504585617
approved, hurry: 0.387303592512
informed, responsibility: 1.18183025674
-ready, goodto: 0
nascent, rich: 1.1929481288
bigger, co-funding: 0.0
deductible, unbalanced: 0.913990444297
life-threatening, tied: 0.0
miscellaneous, then: 0.612107514094
blurry, deep: 0.829799094242
genius, scared: 0.953050759253
salutary, secured: -0.020448109182
holier, useless: 2.1429601382
negative, simplistic: 1.7481281761
able, countless: 0.251501944481
synergistic, well-protected: 0.0
busy, sore: 1.51817196425
clearly, shifty: 1.0665183709
influential, shared: 0.381418947118
dedicated, overwhelmed: 1.05714605969
mistreated, satisfied: 1.62707862399
upfront, violated: 0.032012338158
countless, proprietary: 0.664119806029
single, uneasy: -0.185460403628
astounding, refundable: 0.390715471077
directly, marginalized: 0.695478960029
clarified, extraordinary: 0.147115927204
fitting, yet: 0.926168757848
emotive, former: -0.306458698462
homosexual, opposite: 2.18036224054
callous, opportunity: 0.026807957468
cleaner, elongated: 0.797578857066
finally, outrageous: 0.067774813529
iate, onboard: 0.0
alive, cognizant: 1.56570128877
inevitable, ten: 0.563463145464
re-appointed, well-paid: 0
installed, rich: 0.13251710277
comfy, used: 0.314289349013
fantastic, light: 0.40630280349
crucial, one-sidedly: 0.0
enlarged, start: -0.218660528224
dull, unreasonable: 0.852272196793
intelligible, mieux: 1.53528491797
dope, self-employed: 0.0
applied, business-friendly: 0.0
horrifying, ill-founded: 0.0
physical, wondrous: 1.12203529856
reliable, wack: 0.653879106215
commendable, near: -0.150889835152
dying, less: 0.736727429673
open-minded, well-balanced: 0
inestimable, mid-sized: 0.0
scalable, short: 0.248173290657
brighter, maximal: -0.267305061368
expedited, gravest: 0.593192924685
insecure, part: 0.363066837317
flexible, mediocre: 0.023781295673
accountability, builshit: 0.0
fat, luminous: 1.0883958312
far-reaching, flawed: 0.0
african, lenient: 0.77240216276
orderly, rusty: 0.001261767005
doubled, ill-treated: 0.0
faint, ice-cold: 0.0
chickenshit, previous: -0.004891833092
cancelled, eligible: 0.0
life-long, supplied: 0.0
smart, verify: 0.490544406751
considerate, truth: 1.39892227163
extensive, unimaginable: 1.34679245915
by-election, vigilant: 0.0
delicate, incidental: 1.09208732661
jealous, meticulous: 1.6483510074
farther, operated: 0.627831013454
enjoyable, favorite: 2.3258434286
noisy, thanks: 0.291777848743
expressly, heartbroken: -0.086838545744
lazy, transparent: 0.791457979478
poor, repulsive: 0.891743242918
blunt, leveraged: 0.540149416987
disturbed, topical: 0.7176178835
arduous, optimal: 1.44220947092
a, below: 0.0
infuriating, spotless: 0.520329371417
disquieting, well-founded: 0.0
current, sexy: 0.062162925482
misused, two-: 0.0
damp, feasible: 0.110870636163
secured, unforeseen: 0.596362034325
attainable, better: 1.76099598522
patronizing, stress-related: 0.0
childish, supported: 0.056238994025
benign, utopian: 2.65449231389
debatable, jump: 0.084455582441
freak, narrow: 0.15733539165
infallible, regularly: 1.26366666635
protected, rigorous: 0.733557962915
burdensome, self-supporting: 0.0
iovely, unqualified: 0.0
apace, reasonably: 1.66274714479
specific, stand-alone: 0.0
horseshit, individualized: -0.002590907245
heated, rugged: 0.966297494845
cynical, say: 1.24022952558
fruitless, sedentary: 2.84374641324
assured, refusal: 0.318299533953
favorite, populous: -0.377363997199
between, fearful: 0.383641651687
house-trained, launched: 0.0
harmful, immediately: 0.816090098212
inconvenient, unconventional: 1.20917031404
deficient, whassup: -0.084125772774
conclusive, nothing: 1.88138483731
at, off-putting: 0.0
breadth, unchangeable: 0.994340134379
opposed, woolly: 0.602832190482
better-iooking, proprietary: 0.0
likable, unfriendly: 2.24051152256
explosive, unfounded: 1.04235836622
paranoid, redundant: 2.06632905206
balanced, ineffective: 1.12038862131
identifiable, mysterious: 1.18847274399
slimmer, worst: 1.36022938188
cold-rolled, properly: 0.0
erected, instrumental: 0.881315645416
baseless, softer: -0.16259744932
outrageous, wished: 0.10536647032
executed, recurrent: -0.060970860757
battered, desolate: 2.62080440476
tall, uniformed: 1.63513381471
cost-shared, wholly: 0.0
courteous, sooner: 0.486508117959
prolonged, slow: 1.68873792786
arranged, usable: 0.48730706974
choosy, smallest: 1.24259172578
overjoyed, victorious: 2.36237786651
skint, unmistakable: 0.037196687022
cowardly, tricky: 0.708787902234
enchanting, significantly: -0.268526469576
importantly, thanan: 0.0
apace, horrible: 0.271880476176
drunk, improving: 0.128324061165
momentary, trustworthy: 0.323995457522
detrimental, repayable: 0.744958104411
inoffensive, shoot: 0.363279842234
crippled, overall: 0.661090425633
intelligible, manifest: 1.9251543832
speedy, startled: 0.52750231786
bolder, symbolic: 1.70656208803
favoured, glamorous: 0.0
skinny, stupid-looking: 0.0
uncertain, wholly: 0.559607110083
extinct, poppycock: 1.72074709242
matched, started: 1.07359261975
modernized, talkative: -0.13589795836
lesser, prompt: 0.490417210093
delicate, dopey: 0.903778755192
abreast, opportune: 0.813402286455
greedy, justiciable: 0.296611418196
oral, streamlined: 0.11774064676
achievable, troubled: 0.259713325643
fearful, gloomy: 2.45807101846
awaited, repealed: -0.305095188313
beastly, modernized: 0.071236851921
lacklustre, unaffordable: 0.0
panicky, technically: 0.115380720289
home, omnibus: -0.186483143862
heeded, manufactured: 0.394146417759
enrolled, go: 0.697461142085
awareness-raising, that: 0.0
fried, killed: 1.33334362935
clear, truer: 1.79640396268
creation, grouchy: -0.630452099429
slightly, terrific: 0.325378135021
implementable, salutary: 1.92448467913
free-of-charge, timely: 0.0
elaborate, identified: 1.48270249352
felt, in: 0.683250947502
committed, inefficient: 0.690031723577
live, mind-boggling: 0.0
clare, idle: -0.069952193794
transparency, well-received: 0.0
crummy, de-insured: 0.0
cautious, decisive: 1.83495972553
complacent, simplest: 0.109017511842
liked, rampant: 0.072428216635
environment-friendly, one-sidedly: 0
centralized, subtle: 0.476032720096
elusive, nathan: 0.433752384007
immaterial, needless: 1.40550526553
considerably, manifest: 0.322395209029
contentious, miscellaneous: 0.947628915648
abused, defective: 1.58951052037
galore, perilous: 1.00997789804
bankrupt, glamorous: 0.813107861363
directly, homosexual: 0.26245587164
antiquated, challenges: 1.2529771968
safer, silly: 0.929314033706
recognized, worthwhile: 0.713583122217
immersive, pointless: 1.56482437564
innumerable, majeure: 0.270072269157
sane, tight: 0.958424169869
regular, shocked: 0.067137175019
held, rogue: -0.646392033893
bravest, persuaded: 1.04604096281
important, peachy: 0.702290675167
grown, snarky: 0.47707473403
european, leveraged: 1.12711150604
smarty, under-funded: 0.0
harsh, small-scale: 0.0
refreshing, rescinded: 0.022474664884
genius, imprecise: 2.4303600971
re-established, warmer: 0.0
essentially, subject: 0.819257391687
inadequate, quoted: 0.708647533592
advertised, etc: 0.834354789191
stupide, worldwide: 0.0
generalized, shortest: 0.605472303168
oversensitive, unused: 0.131987325133
negligent, stale: 0.626929537839
candid, me: 1.26263993292
intricate, proficient: 1.89568259001
ecological, modern: 1.77070001354
bummed, ill-treated: 0.0
disputable, scanty: 1.79179476052
insufferable, shorter: 0.505763403685
across-the-board, exceptional: 0.0
disputable, pleasurable: 1.13798918146
kane, polished: 0.314583777961
cordial, notorious: 0.085077865201
for, mandatory: 0.718442463476
gonna, madness: 1.1791729813
aesthetic, unabated: 0.496732656572
alternate, even: 0.657661720015
condescending, official: 0.231317379737
domestic, necessary: 0.651197100752
disjunct, frigid: 0.797561834156
elsewhere, gender-neutral: 0.0
analogous, scandalous: 1.70909911872
great, virtuous: 1.38076210238
find, jump: 0.87254316883
integrating, parched: 0.007494629116
obsolete, unsavory: 0.623654355171
lately, unfeasible: 0.076071318806
10, executory: 0.0
odd, optimum: 1.12458159344
axiomatic, compact: 1.18036666377
radiant, something: 0.667554525513
noisy, yesterday: 0.625266109149
all-powerful, rather: 0.0
expedient, uh-huh: 0.0
ageing, overkill: 0.0
