follows, missy: 0.343572179469
daft, outstanding: 0.46069566237
brain-dead, relative: 0.0
concentrated, corrigendum: -0.295822239655
favorable, nationwide: 0.16787018294
ice-cold, undisputed: 0.0
a, unproductive: 0.0
cosmetic, nervous: 0.755794442707
fixated, pragmatic: 1.39869176744
at, periodic: 0.177486763042
ioyal, mobile: 0.0
abysmal, flammable: 0.219633252985
selective, statutory: 0.62321280931
goodto, looser: 0.0
modified, n'tunderstand: 0.0
indigent, well-timed: 0.0
competence, displaced: -0.270051570956
clearly, disgraceful: 1.50182217608
key, respectful: 0.579661353434
a-okay, received: 0.0
fiine, particularly: 0.0
female, responsable: -0.090153795253
axiomatic, queer: 1.58814503356
interest, wide: 0.428646849659
deductible, former: 0.01828400493
displacement, refrigerated: -0.444435183002
operative, use: 0.824998503042
brief, maximum: 0.526205123022
enlightening, phat: 0.547165423087
cozy, neighbours: 0.0
opportunity, whole: 1.08365783953
individualized, rugged: 0.462928073717
exciting, well-placed: 0.0
hinky, obvious: 1.18866751684
lastly, shiny: 0.684308818117
far-reaching, onboard: 0.0
added, lonely: 0.112135635166
monitored, peripheral: 0.72004210086
creation, doin: 0.53577918282
implausible, lousy: 2.01704617166
ill-treated, unhurt: 0.0
thanks, unsanitary: -0.20745151828
know, mideast: 0.774504012856
clueless, readable: 1.63803521761
delicious, smokin: 3.16121099597
inter-connected, modest: 0.0
intensive, moister: 0.837215629462
shaun, stifling: 0.001386621154
reinforcing, there: 0.580919281074
secret, unanswered: 0.52366126129
brighter, culpable: 1.34786113953
agile, locked: 0.564980765396
missing, variable: 0.10856719865
entitled, improper: 0.846683134797
inter-connected, previous: 0.0
looking, sharp: 0.669587843287
simplistic, trained: 0.307261285119
doubled, giddy: 0.891753911656
assertive, indecent: 0.929956653084
small, sounder: -0.055044033579
well-paid, widely: 0.0
ecologically, interwoven: 0.915336487698
quickest, trusted: 1.09001368148
manifest, sufficiently: 0.719740285165
astounding, understandable: 2.03242557228
another, still: 0.690955336813
selective, that: 0.508020056877
closest, dope: 0.481523432691
differently, somewhere: 0.799046039793
exemplary, unhelpful: 1.54015828229
uncanny, unconvincing: 2.91793055155
self-sufficiency, toast: 0.0
race, worldwide: -0.124401013705
slim, sloppy: 1.74941702523
deprived, heterogeneous: 0.503590789037
goal, novel: 0.557355948663
