filthy, pitch-dark: 0.0
necessarily, precisely: 1.64331632023
certain, sensible: 1.183778443
nice, nonsensical: 0.564107554639
insatiable, rash: 0.968135859102
firmer, variable: 1.24319085866
interesting, reconcilable: 1.91101525734
inoperable, resistant: 3.77662955837
seen, shoot: 1.00626357555
equal, late: 0.004389993674
empowered, precise: 0.468773766646
cohesive, frazzled: 1.61146173981
morbid, sorr: 0.0
relentless, suicidal: 0.599445240704
commercial, mature: 1.07749048918
absurd, firstly: 0.550259972238
absurd, lunatic: 3.5685111479
above-board, unreal: 0.0
steep, whar: 0.0
accurate, vice-chairmen: 0.0
previous, wounded: 0.149493863343
good-natured, welcoming: 0.0
dandy, proprietary: -0.269482285275
cheaper, fragmented: 1.82505899509
obsolete, pathetic: 2.02661289475
fried, terse: 0.403892151136
dope, gaunt: 1.2777468905
north-west, professional: 0.0
all-important, alright: 0.0
enabled, practical: 0.485207368059
actually, fast: 0.763341024457
abused, healthy: 0.390990365506
disappointed, self-aware: 0.0
ludicrous, only: 0.822394666842
unaware, unspoiled: 1.26915480974
multi-disciplinary, retail: 0.0
humiliated, tedious: 0.886995071019
dire, now: 0.739644247127
dearer, removed: 1.10147077488
complements, intelligent: 1.14835206784
displeased, fatal: 0.155059558204
closer, discretionary: -0.140058208782
actually, clarified: 0.544697476526
dirty, supplied: 0.666421516978
accuracy, steep: 0.57300009331
adopted, previous: 0.425194922862
affordable, distribution: 1.30169190609
doing, multicultural: 0.465362459052
earliest, near: 0.480114936341
enthusiastic, two-fold: 0.0
fbl, unhelpful: 0.0
grouchy, terrible: 1.65017052984
appropriate, gratifying: 1.67423295876
laughable, sweetheart: 0.883612885454
iovely, opened: 0.0
politically, worrying: 0.02781453224
pitiful, winning: 0.407750109007
right-handed, six-year: 0
going, lye: 0.372828491339
all, untouched: 0.753150505063
elaborate, multiple: 1.54794219653
conventional, positive: 0.251521082539
fucked, truthful: 2.26149571636
unmistakable, well-treated: 0.0
predictability, protected: 0.622474699148
overpriced, three: -0.047924049873
generally, violent: 0.697546047184
evil, gigantic: 1.87590154165
alive, unambiguous: 0.424308801464
co-operate, discernable: 0.0
conventional, extinct: 0.96023697907
louder, oriental: -0.345000836261
abreast, unachievable: 0.143362872946
delineated, international: -0.047764829021
inalienable, petite: 0.159604377178
excluded, griet: 0.0
horrid, skint: 2.42353752992
divine, right-handed: 0.0
completely, invisible: 2.45057095141
competence, structured: 0.532214069742
degraded, short-lived: 0.0
reliable, sappy: 0.476812554861
crazy, tall: 1.53939560533
immediately, intentionally: 1.22772716641
controversial, hourly: -0.019572914586
free-of-charge, mission-critical: 0
declared, here: 0.632034754904
bare, determinable: 0.514975558006
scarce, unfair: 1.32941230425
checked, topical: -0.112345112215
off, social: 0.165528280305
dying, monstrous: 0.972638461237
fatter, wide-open: 0.0
a, dope: 0.0
deceased, unavailable: 1.60447231186
irritable, vicious: 1.35323006318
deposited, elegant: 0.02794176466
co-, embedded: 0.0
open, pristine: 1.09694644535
fools, substantive: 0.551171003364
irritating, presumptuous: 2.69778065467
hurry, invisible: 0.705097306306
defined, insulted: 0.39767848471
directly, profitability: 0.845948960417
recent, variable: 0.262272598993
environmental, prescriptive: 1.32937547414
genuine, mentioned: 1.00581920679
incompetent, loyal: 1.99143331489
focused, unhelpful: 1.28489490379
grave, spectacular: 0.488037610804
loco, typically: -0.380257475365
grown, therefore: 0.207647910524
minute, purty: -0.086435103974
captain, deepest: 0.431595399844
own, trite: 0.963930039663
groundless, leaner: -0.472199197968
older, tired: 1.6760731493
nut, unfriendly: 0.924821285403
crafty, unimaginable: 0.538864572694
instrumental, tiresome: 1.00992114948
consultation, enduring: -0.158391850206
graver, unequivocal: 1.65433298357
pitiable, resilient: 1.41343142123
franco, notable: 0.125431215035
carmela, wierd: 0.0
finite, unendurable: 1.97132274126
accessible, by-election: 0.0
