slow, smaller: 1.11332840894
modest, rarer: 1.42075845575
darkest, weird: 2.04331456517
best, weird: 1.18972296782
fast, latest: 0.544915442653
easier, easier: 8.23978844635
hotter, slower: 4.20548292122
cooler, hot: 3.40716342026
broad, cool: 0.690307365547
greater, newer: 1.45968302242
clearest, lovelier: 2.0100181291
pretty, strict: 0.63673511297
latter, much: 0.558234821521
dead, lucky: 1.78871238366
bad, safest: 1.91243192092
kosher, much: 0.191802741127
greater, lower: 3.10684037816
greener, luckier: 3.25355453785
earlier, poor: 0.465133395122
light, narrow: 0.985314267716
lesser, taller: 2.07717538663
close, safer: 0.282438114403
harder, strict: 1.27000244415
busier, warm: 1.44154142804
newest, stranger: 0.6645387216
loud, rarest: -0.199908154543
busier, farther: 3.24989560348
light, subtler: 1.09891579375
large, milder: 0.618857558008
shortest, strict: 0.397252826035
truer, young: 0.504642322037
closest, freest: 1.63520988484
broader, loud: 0.097103238706
earliest, purer: 1.47361746105
strong, worst: 1.38250453068
easy, stronger: 0.862568331145
tall, weak: 1.12734737186
tough, well: 1.61657000841
busy, drier: 1.71522616447
fat, newest: 0.411030063927
colder, smaller: 2.37718962203
lovely, quiet: 2.31215416141
safest, strange: 1.13527296897
quickest, warmest: 2.79948685979
light, new: 0.813509642621
bright, great: 1.40170937478
bad, proud: 0.981477013417
lowest, lucky: 0.871126270522
ever, little: 0.84668332516
high, stupider: -0.279040900984
cool, worst: 0.879271721908
cold, shorter: 0.948601490335
dense, poor: 1.20817838352
busier, wiser: 3.93600607092
fast, hot: 1.99218208478
sounder, sounder: 11.4340531116
cool, least: 0.501611052117
closer, nicer: 3.21444219464
biggest, denser: -0.073886129213
fast, light: 0.929856705163
longest, older: 0.508310339797
easier, healthy: 1.18496869085
poorest, safer: 1.70202615939
happier, weak: 0.38400507402
early, weird: 0.366306288906
grave, greater: 0.918513588288
dark, least: 0.393448460671
bigger, young: 0.817784269276
bad, drier: 1.4662282796
little, true: 0.87861782768
more, wise: 0.570345414598
dark, subtler: 1.68938551908
free, short: 0.678397965642
good, safer: 1.77549147604
another, cute: 0.726255087675
newer, warmer: 1.75928681513
cheaper, richer: 3.81982666298
free, greener: 0.810863678356
strong, subtle: 1.2285986191
broadest, more: 0.806563951719
gravest, richer: -0.40089328975
cruel, younger: 0.715342512844
longer, widest: 0.818559941127
