newest, poor: -0.198633736362
lucky, smaller: 0.971825520699
busier, lower: 1.84313985246
high, sure: 0.332908787529
highest, strange: 0.310818934651
quicker, simple: 1.31094733683
newer, tougher: 2.0548114529
highest, younger: 0.392133917399
cold, louder: 0.402720791881
darker, wise: 1.25175421478
higher, stupid: 0.305398369788
high, wiser: -0.397142508634
broadest, strongest: 5.34291964818
kosher, least: 0.394792909027
larger, youngest: 0.810099856223
cheap, firmer: 1.0912462336
deeper, more: 2.38326533267
green, prouder: 0.547517031226
easiest, freer: 1.34921939701
heavier, latter: 1.35607260745
clear, fastest: 0.553003661846
louder, thinner: 3.70761375884
fairer, finest: 0.964826897332
colder, deader: 4.50021764042
busy, safer: 1.12010288261
cruellest, deep: 0.694417033808
cruel, highest: 0.150216022314
closer, darkest: 1.18402963533
cruel, safest: 0.524948102145
clearer, noble: 0.911959375151
noble, young: 1.42922906338
highest, interest: 0.764974804239
brighter, smallest: 1.34582116634
fatter, tall: 2.00314134982
lesser, quieter: 1.92684450418
earlier, wiser: 0.940322077354
less, thin: 0.840909958305
farther, prettier: 3.64467638082
richer, wider: 2.37634220659
hotter, safer: 3.37014514833
simpler, young: 0.274716908248
louder, smaller: 2.5659745956
cooler, newer: 2.07585880942
cruellest, worse: 3.25610885508
loud, wiser: 0.169589856643
safer, slow: 1.26048407072
denser, lower: 2.6205721545
cruel, weird: 2.91580205316
best, loud: 0.508808699785
kosher, poorer: 0.442517753591
shortest, strongest: 3.74425180108
easy, richest: 0.387423307204
rich, rich: 6.84903153515
healthier, old: 0.224792289094
pretty, tough: 2.59580983963
rarer, strong: 0.135348398994
dead, great: 0.512344369857
heavy, low: 2.02070071137
darkest, lower: 0.466893442955
darkest, shorter: 1.78836283151
cooler, smart: 0.851374157943
nobler, thinner: 2.38794579081
deep, greatest: 1.13154090667
noble, purer: 2.74426250117
hard, late: 0.611856559968
largest, stupider: 0.143668251136
gravest, stupider: 1.29149224343
cool, less: 0.323743708174
large, subtler: 0.464238378192
deep, fatter: 0.68151002994
colder, hot: 2.85675209181
fairer, new: 1.0744371964
greener, subtle: 1.29482613915
cold, wiser: 0.150624317764
pretty, stricter: 0.229482089242
greater, younger: 1.80961477731
big, lucky: 1.94605562592
fast, kosher: 1.31099078109
fastest, fatter: 2.44814456668
fairer, freer: 5.6063116078
greatest, weirder: 1.00109053513
new, richer: 0.710902625663
cold, lowest: 0.79683489365
larger, sure: 0.306018397246
healthy, warmer: 2.1716720682
lesser, lucky: 1.12686184094
dead, safe: 1.43376502875
fatter, richer: 5.48032378037
cheaper, rarest: 1.27394999367
broadest, slower: 0.383649868111
fairer, quiet: 0.464766609241
greatest, hard: 1.1246887857
free, quicker: 0.7267127566
stricter, tough: 2.86529226
broadest, lower: 1.32191378045
luckier, quicker: 3.79599225583
cheaper, greatest: 0.410612589808
louder, new: 0.339940470359
quick, quiet: 1.49737574406
dark, long: 1.31269749354
bad, wide: 0.648583783421
thinner, younger: 3.06401496377
poor, safer: 0.76744238766
