little, less
proper, best
tough, tougher
quiet, quieter
busy, busier
larger, biggest
healthy, healthier
least, little
modest, milder
old, older
modest, smaller
fast, faster
broader, broadest
strong, strongest
broad, broader
early, earliest
high, highest
nice, nicer
quicker, fastest
harder, hardest
rare, rarer
larger, highest
fast, fastest
proud, prouder
lower, smallest
lesser, smallest
bigger, biggest
much, more
noble, nobler
deep, deeper
higher, highest
weird, weirder
wise, wiser
happy, happiest
sound, sounder
lesser, lowest
lowest, slower
warm, warmest
greatest, older
larger, broadest
