longer longest
harder hardest
broader broadest
deeper deepest
older oldest
lower lowest
weaker weakest
smaller smallest
further furthest
larger largest
fairer fairest
greater greatest
closer closest
rarer rarest
richer richest
brighter brightest
wider widest
shorter shortest
cleaner cleanest
braver bravest
stronger strongest
heavier heaviest
cheaper cheapest
happier happiest
later latest
smarter smartest
simpler simplest
easier easiest
less least
higher highest
clearer clearest
darker darkest
quicker quickest
poorer poorest
graver gravest
bigger biggest
safer safest
younger youngest
earlier earliest
fuller fullest
warmer warmest
wealthier wealthiest
faster fastest
freer freest
newer newest
finer finest
stricter strictest
