for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
for, greater, <is weaker than>
