limited, limited, <quite>
limited, limited, <rather>
limited, limited, <only>
limited, limited, <very>
limited, limited, <too>
limited, limited, <extremely>
limited, limited, <relatively>
limited, limited, <severely>
limited, limited, <somewhat>
limited, limited, <fairly>
limited, smaller, <most>
limited, insignificant, <relatively>
limited, insignificant, <very>
limited, marginal, <only>
limited, slim, <extremely>
limited, iittle, <very>
limited, simply, <very>
limited, scarce, <extremely>
limited, scarce, <rather>
limited, scarce, <severely>
limited, scarce, <somewhat>
limited, scarce, <quite>
limited, constrained, <very>
limited, constrained, <more>
limited, constrained, <somewhat>
limited, trivial, <very>
limited, little, <relatively>
limited, little, <extremely>
limited, little, <rather>
limited, little, <very>
limited, restricted, <quite>
limited, restricted, <rather>
limited, restricted, <very>
limited, restricted, <only>
limited, restricted, <more>
limited, restricted, <too>
limited, restricted, <extremely>
limited, restricted, <somewhat>
limited, less, <very>
limited, tiny, <very>
limited, shorter, <more>
limited, few, <relatively>
limited, few, <extremely>
limited, few, <only rather>
limited, few, <quite>
limited, few, <rather>
limited, slight, <very>
limited, low, <extremely>
limited, finite, <rather>
limited, finite, <quite>
limited, finite, <very>
limited, finite, <only>
limited, finite, <somewhat>
limited, minimal, <quite>
limited, minimal, <only>
limited, minimal, <extremely>
limited, minimal, <severely>
limited, minimal, <very>
limited, poor, <extremely>
limited, dim, <extremely>
limited, weak, <extremely>
limited, unlimited, <very>
limited, uncommon, <extremely>
limited, uncommon, <quite>
limited, restrictive, <very>
limited, modest, <relatively>
limited, modest, <somewhat>
limited, modest, <quite>
limited, modest, <more>
limited, modest, <rather>
limited, modest, <only>
limited, shortly, <relatively>
limited, shortly, <rather>
limited, bleak, <extremely>
limited, infrequent, <quite>
limited, infrequent, <very>
limited, rare, <extremely>
limited, negligible, <very>
limited, sparse, <extremely>
limited, sparse, <quite>
limited, insufficient, <very>
limited, narrow, <somewhat>
limited, narrow, <rather>
limited, narrow, <very>
limited, slightly, <very>
limited, reduced, <very>
desirable, beneficial, <highly>
desirable, useful, <highly>
desirable, worthwhile, <highly>
desirable, desirable, <highly>
desirable, desirable, <most>
desirable, desirable, <very>
desirable, desirable, <indeed>
desirable, desirable, <therefore>
desirable, satisfactory, <highly>
desirable, appropriate, <most>
desirable, appropriate, <highly>
desirable, best, <most>
desirable, best, <more>
desirable, best, <therefore>
desirable, opportune, <highly>
desirable, salutary, <highly>
desirable, advantageous, <highly>
desirable, inappropriate, <highly>
desirable, convenient, <most>
desirable, convenient, <highly>
desirable, convenient, <more>
desirable, fitting, <highly>
desirable, better, <most>
desirable, better, <more>
desirable, ideal, <most>
desirable, ideal, <highly>
desirable, preferable, <most>
desirable, preferable, <indeed>
desirable, preferable, <highly>
desirable, preferable, <very>
desirable, preferable, <therefore>
desirable, welcome, <highly>
desirable, helpful, <highly>
desirable, wise, <highly>
desirable, fit, <highly>
desirable, undesirable, <indeed>
desirable, undesirable, <most>
desirable, undesirable, <very>
desirable, undesirable, <highly>
desirable, undesirable, <more>
desirable, expedient, <highly>
desirable, advisable, <very>
desirable, advisable, <most>
desirable, advisable, <indeed>
desirable, advisable, <more>
desirable, advisable, <highly>
desirable, advisable, <therefore>
desirable, suitable, <highly>
foul, dreadful, <most>
foul, atrocious, <most>
foul, disgusting, <most>
foul, horrendous, <most>
foul, awful, <most>
foul, gruesome, <most>
asian, korean, <south>
asian, east, <east>
asian, oriental, <east>
asian, asian, <east>
asian, asian, <south>
asian, eastern, <east>
controversial, questionable, <very>
controversial, uncontroversial, <very>
controversial, contentious, <highly>
controversial, contentious, <very>
controversial, contentious, <more>
controversial, controversial, <extremely>
controversial, controversial, <very>
controversial, controversial, <highly>
captain, sorry, <sorry ,>
eligible, compensable, <so>
poorest, poor, <very>
poorest, poorest, <very>
poorest, poorer, <very>
poorest, poorer, <the>
neighbours, neighbours, <practically>
sorry, desolate, <rather>
sorry, plenty, <very>
sorry, horrific, <so>
sorry, chaotic, <terribly>
sorry, pitiful, <very>
sorry, sincere, <really>
sorry, confused, <terribly>
sorry, confused, <so>
sorry, disorientated, <terribly>
sorry, disorientated, <so>
sorry, disorientated, <very>
sorry, sad, <so>
sorry, sad, <very>
sorry, sad, <terribly>
sorry, embarrassed, <so>
sorry, embarrassed, <very>
sorry, embarrassed, <terribly>
sorry, unhappy, <so>
sorry, unhappy, <very>
sorry, grateful, <so>
sorry, horrendous, <so>
sorry, miserable, <so>
sorry, miserable, <very>
sorry, worried, <deeply>
sorry, overwhelmed, <terribly>
sorry, overwhelmed, <so>
sorry, really, <so>
sorry, distressing, <so>
sorry, distressing, <very>
sorry, dreadful, <very>
sorry, dreadful, <so>
sorry, afraid, <really>
sorry, afraid, <so>
sorry, afraid, <very>
sorry, pathetic, <very>
sorry, lousy, <very>
sorry, convenient, <very>
sorry, thanks, <so>
sorry, disgusting, <so>
sorry, shocked, <so>
sorry, lamentable, <very>
sorry, terrific, <so>
sorry, tragic, <so>
sorry, bleak, <rather>
sorry, unfortunate, <very>
sorry, unfortunate, <so>
sorry, horrible, <so>
sorry, distraught, <so>
sorry, sorry, <very>
sorry, sorry, <so very>
sorry, sorry, <really>
sorry, sorry, <truly>
sorry, sorry, <extremely>
sorry, sorry, <sorry , very>
sorry, sorry, <really , really>
sorry, sorry, <just so>
sorry, sorry, <very , very>
sorry, sorry, <real>
sorry, sorry, <so terribly>
sorry, sorry, <terribly>
sorry, sorry, <awfully>
sorry, sorry, <deeply>
sorry, sorry, <profoundly>
sorry, sorry, <frightfully>
sorry, sorry, <reaily>
sorry, afflicted, <really>
sorry, afflicted, <terribly>
sorry, afflicted, <awfully>
sorry, truthful, <really>
sorry, awesome, <so>
sorry, disgraceful, <very>
sorry, terrifying, <so>
sorry, lonely, <so>
sorry, okay, <really>
sorry, okay, <so>
sorry, okay, <very>
sorry, okay, <terribly>
sorry, okay, <truly>
sorry, sorr, <so>
sorry, sorr, <so very>
sorry, sorr, <frightfully>
sorry, sorr, <really>
sorry, sorr, <extremely>
sorry, sorr, <profoundly>
sorry, sorr, <terribly>
sorry, sorr, <awfully>
sorry, sorr, <truly>
sorry, sorr, <very>
sorry, sorr, <deeply>
sorry, sorr, <real>
sorry, regrettable, <rather>
sorry, regrettable, <very>
sorry, regrettable, <so>
sorry, exactly, <so>
sorry, apologise, <really>
sorry, apologise, <terribly>
sorry, apologise, <very>
sorry, apologise, <so>
sorry, depressing, <so>
sorry, depressing, <very>
sorry, thankyou, <so>
sorry, wrong, <so>
sorry, gloomy, <so>
sorry, s-sorry, <so>
sorry, s-sorry, <really>
sorry, s-sorry, <extremely>
sorry, s-sorry, <very>
sorry, s-sorry, <so very>
sorry, s-sorry, <frightfully>
sorry, s-sorry, <terribly>
sorry, s-sorry, <truly>
sorry, s-sorry, <profoundly>
sorry, s-sorry, <awfully>
sorry, s-sorry, <deeply>
sorry, s-sorry, <real>
sorry, regrettably, <very>
sorry, awful, <really>
sorry, awful, <terribly>
sorry, confusing, <terribly>
sorry, confusing, <so>
sorry, grieved, <so very>
sorry, grieved, <very , very>
sorry, grieved, <really>
sorry, grieved, <very>
sorry, grieved, <so>
sorry, grieved, <extremely>
sorry, grieved, <real>
sorry, grieved, <terribly>
sorry, inexcusable, <really>
sorry, inexcusable, <terribly>
sorry, inexcusable, <awfully>
sorry, inexcusable, <so>
sorry, inexcusable, <truly>
sorry, inexcusable, <very>
sorry, inexcusable, <so very>
sorry, l, <so>
sorry, disappointing, <very>
sorry, myself, <so>
sorry, ok, <so>
sorry, -sorry, <so very>
sorry, -sorry, <really>
sorry, -sorry, <very>
sorry, -sorry, <extremely>
sorry, -sorry, <truly>
sorry, -sorry, <terribly>
sorry, -sorry, <very , very>
sorry, -sorry, <real>
sorry, -sorry, <awfully>
sorry, distressed, <really>
sorry, distressed, <terribly>
sorry, distressed, <so>
sorry, distressed, <very>
sorry, distressed, <sorry ,>
sorry, actually, <so>
sorry, devastating, <rather>
sorry, upset, <so>
sorry, upset, <very>
sorry, terrible, <terribly>
sorry, terrible, <really>
sorry, terrible, <so>
sorry, terrible, <truly>
sorry, terrible, <very>
sorry, honest, <really>
sorry, depressed, <so>
sorry, depressed, <very>
sorry, so, <so>
sorry, hopeless, <very>
sorry, disoriented, <terribly>
sorry, shocking, <so>
sorry, horrifying, <so>
sorry, deplorable, <very>
sorry, panicky, <so>
sorry, forthright, <really>
worth, rigght, <right ,>
worth, worthy, <really>
worth, right, <right ,>
worth, worth, <really>
worth, worthwhile, <really>
updated, updated, <most>
updated, newest, <most>
updated, newer, <most>
updated, latest, <most>
emerged, emerging, <newly>
dynamic, slower, <less>
dynamic, vibrant, <very>
dynamic, vibrant, <more>
dynamic, dynamic, <very>
dynamic, dynamic, <most>
dynamic, dynamic, <highly>
dynamic, stronger, <most>
dynamic, stronger, <more>
dynamic, pro-active, <very>
dynamic, pro-active, <more>
dynamic, buoyant, <very>
dynamic, aggressive, <very>
dynamic, proactive, <very>
dynamic, proactive, <most>
dynamic, proactive, <more>
every, almost, <almost>
every, most, <almost>
jack, sorry, <sorry ,>
jack, fine, <fine ,>
jack, sorr, <sorry ,>
courageous, brave, <very>
courageous, brave, <really>
courageous, braver, <most>
courageous, braver, <more>
courageous, bolder, <more>
courageous, bolder, <very>
courageous, bolder, <most>
courageous, fearless, <really>
courageous, fearless, <very>
courageous, feisty, <really>
courageous, feisty, <very>
courageous, bravest, <most>
courageous, bravest, <more>
courageous, batty, <really>
courageous, courageous, <very>
courageous, courageous, <really>
courageous, bold, <very>
courageous, bold, <really>
school, old-fashioned, <old>
correct, precise, <quite>
correct, precise, <all>
correct, identical, <quite>
correct, right, <quite>
correct, right, <absolutely>
correct, right, <that>
correct, right, <entirely>
correct, fair, <quite>
correct, fair, <that>
correct, true, <quite>
correct, true, <absolutely>
correct, true, <that>
correct, accurate, <quite>
correct, accurate, <all>
correct, accurate, <completely>
correct, accurate, <technically>
correct, accurate, <that>
correct, apt, <quite>
correct, untrue, <quite>
correct, proper, <quite>
correct, proper, <completely>
correct, proper, <that>
correct, proper, <technically>
correct, fairer, <more>
correct, incorrect, <quite>
correct, incorrect, <that>
correct, decent, <quite>
correct, decent, <technically>
correct, well-formed, <quite>
correct, fitting, <quite>
correct, justified, <quite>
correct, shifty, <quite>
correct, correct, <quite>
correct, correct, <completely>
correct, correct, <absolutely>
correct, correct, <totally>
correct, correct, <entirely>
correct, correct, <technically>
correct, real, <absolutely>
correct, rigght, <absolutely>
correct, rigght, <quite>
correct, reai, <absolutely>
correct, exactly, <all>
correct, exactly, <quite>
correct, exactly, <that>
correct, reason, <absolutely>
correct, reason, <quite>
correct, legitimate, <quite>
correct, exact, <quite>
correct, exact, <all>
correct, exact, <that>
correct, environment-friendly, <environmentally>
correct, legit, <absolutely>
correct, cool, <quite>
correct, cool, <technically>
correct, ok, <quite>
correct, ok, <technically>
correct, equal, <quite>
correct, adequate, <that>
correct, green, <environmentally>
correct, alright, <quite>
correct, alright, <technically>
correct, truer, <more>
admissible, receivable, <otherwise>
admissible, inadmissible, <otherwise>
admissible, eligible, <otherwise>
admissible, acceptable, <otherwise>
admissible, meritorious, <otherwise>
admissible, admissible, <otherwise>
admissible, admissible, <therefore>
admissible, permissible, <otherwise>
admissible, tolerable, <otherwise>
deplorable, appalling, <most>
deplorable, regrettable, <most>
deplorable, sad, <most>
deplorable, shameful, <most>
deplorable, unfortunate, <most>
deplorable, lamentable, <most>
deplorable, deplorable, <most>
deplorable, disgraceful, <most>
reliable, credible, <highly>
reliable, credible, <most>
reliable, credible, <generally>
reliable, credible, <as>
reliable, credible, <very>
reliable, credible, <fully>
reliable, credible, <more>
reliable, better, <most>
reliable, robust, <more>
reliable, robust, <sufficiently>
reliable, robust, <fully>
reliable, robust, <very>
reliable, finest, <most>
reliable, secure, <highly>
reliable, secure, <most>
reliable, reliable, <most>
reliable, reliable, <highly>
reliable, reliable, <generally>
reliable, reliable, <very>
reliable, reliable, <fully>
reliable, reliable, <trusted ,>
reliable, surer, <more>
reliable, surer, <as>
reliable, trustworthy, <trusted ,>
reliable, trustworthy, <highly>
reliable, trustworthy, <most>
reliable, trustworthy, <generally>
reliable, trustworthy, <fully>
reliable, trustworthy, <very>
reliable, trustworthy, <as>
reliable, trustworthy, <more>
reliable, brighter, <most>
reliable, dependable, <more>
reliable, dependable, <very>
reliable, dependable, <fully>
reliable, dependable, <as>
reliable, trusted, <fully>
reliable, unreliable, <most>
reliable, unreliable, <as>
reliable, unreliable, <fully>
reliable, unreliable, <very>
reliable, unreliable, <more>
reliable, believable, <very>
reliable, safer, <more>
reliable, accurate, <generally>
reliable, accurate, <very>
reliable, accurate, <more>
reliable, best, <most>
favoured, disadvantaged, <less>
favoured, disadvantaged, <least>
favoured, underprivileged, <less>
favoured, impoverished, <less>
concise, concise, <very>
concise, terse, <very>
concise, terse, <as>
concise, brief, <very>
concise, shorter, <more>
concise, streamlined, <very>
concise, succinct, <very>
concise, succinct, <as>
consistent, firmer, <more>
consistent, standardized, <more>
consistent, consistent, <very>
consistent, consistent, <internally>
consistent, consistent, <mutually>
consistent, supported, <mutually>
consistent, cohesive, <internally>
consistent, cohesive, <mutually>
consistent, compliant, <mutually>
consistent, uniform, <fully>
consistent, uniform, <more>
consistent, compatible, <mutually>
consistent, coherent, <very>
consistent, coherent, <more>
consistent, coherent, <mutually>
consistent, coherent, <internally>
consistent, unanimous, <fully>
consistent, inconsistent, <more>
consistent, stricter, <more>
consistent, interoperable, <mutually>
consistent, uniformed, <more>
direct, straightaway, <very>
direct, straightforward, <very>
direct, straightforward, <either>
direct, straightforward, <merely>
direct, frank, <very>
direct, direct, <very>
